stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,66.09,6.29,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,6,3,5,0,0,0,0,0,0,0,0,0,3,0,1,14,7,0,0,0,0,1,2,0,0,2,7,0,0,0
 24-34,0,0,3.28,0,2.46,0,0,0,0,0,0,0.82,0,0,7.39,0,6.57,13.95,1.64,0,0.82,0,0,0,0,0.82,0,1.64,2.46,0,4.1,0
 36-46,0,0,3.22,0.81,4.03,0,0,0.81,0,0,0.81,0,0,0,25.78,0.81,4.83,11.28,1.61,0,0,0,0,0,0.81,0,0,0,8.06,0,1.61,0
 48-58,0,0,0,0,2.3,0,0.57,4.59,0,0,0,0,0.57,0,19.51,0.57,4.59,8.61,0,0,0,0,1.15,1.15,0,0,0.57,0,3.44,0,0.57,0
 60-70,0,0,1.96,0,4.91,1.96,0,9.82,0,0,0,0,0,0,29.45,0.98,2.94,2.94,0,0.98,0,0,0,0.98,0,0,0,0,2.94,0,1.96,0
 72-82,0,0,0,0,7.85,0.98,0,17.67,0,0,0.98,0,0,0,33.38,0.98,6.87,5.89,0,0,0,0,0,0.98,0,0,0,0,0,0.98,2.94,0
 84-94,0,0,2.12,0,5.31,2.12,0,5.31,0,0,0,0,1.06,0,15.93,0,4.25,3.19,1.06,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,2.19,0,5.46,0,1.09,7.65,0,0,0,0,1.09,0,12.02,0,0,7.65,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,2.3,0,1.53,0,0.77,3.83,0.77,0,0,0,0,0.77,9.19,0.77,2.3,5.36,0.77,0,0,0,0.77,0,0,0.77,0,0,0.77,0.77,0.77,0
120,0,0,7.84,0,1.96,0,0,11.76,0,0,0,0,0,0,5.88,1.96,3.92,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
