stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,26.29,0,23.66,0,0,0,70.98,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,428.48,10.51,0,0,207.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,22.03,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,412.25,31.47,0,0,185.67,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,2,9,9,0,7,0,0,0,8,2,0,1,0,0,0,11,0,12,0,0,10,215,4,7,3,10,0,0,14,1,6,30,156,0,0,1,0,0
 24-34,0,0,2.46,0,2.46,0.82,0,16.42,0,0,0,5.75,0,0,0,0,0,0,4.93,2.46,12.31,0,0,4.93,387.44,1.64,43.51,0.82,0,0,0,0,0,0,0.82,158.43,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,0,0,47.53,0,0,0,3.22,0,0,0,0,0,0,0,0,5.64,0,0,2.42,617.14,0,36.26,0.81,0,0,0.81,0,0,0,0,147.44,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,111.89,0.57,0,1.15,13.2,0,0,0,0,0,0,0.57,0.57,9.18,0,0.57,2.3,732.18,0,25.25,1.15,0,0,1.15,0,0,0,0,165.83,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,284.64,1.96,0,0,17.67,0.98,0,0,0,0,0,0,0,11.78,0.98,0.98,0,873.55,0,21.59,0,0,0,1.96,0,0.98,0,0,136.43,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,1.96,0,335.73,0,0,1.96,21.6,0.98,0,0,0,1.96,0.98,0,0.98,19.63,0,0,0.98,737.23,0,34.36,0.98,0,0,0,0,0,0.98,0,70.68,0.98,0.98,1.96,0,0.98
 84-94,0,0,1.06,0,3.19,1.06,0,192.23,0,0,1.06,23.36,1.06,0,0,2.12,1.06,0,0,0,18.05,0,1.06,1.06,355.78,0,26.55,4.25,0,1.06,2.12,0,0,0,0,32.92,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,5.46,2.19,1.09,169.39,1.09,2.19,1.09,22.95,1.09,0,0,1.09,0,0,1.09,0,10.93,0,0,2.19,293.98,0,54.64,5.46,0,0,3.28,0,0,0,0,15.3,0,1.09,0,0,1.09
108-118,0,0,0,0,1.53,0,0.77,130.98,0,0,1.53,15.32,0.77,0,0,0.77,1.53,0,0.77,0.77,5.36,0,0,0,316.34,0,38.3,6.13,0,0,0,0,0,0,0,6.89,0.77,0,0,0.77,0
120,0,0,0,0,7.84,1.96,0,96.03,0,0,0,13.72,0,0,0,1.96,0,0,0,0,7.84,0,0,1.96,299.85,0,21.56,0,0,0,0,0,0,0,0,13.72,0,0,0,1.96,0
