stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,1,2,0,1,2,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,3.28,371.85,0,0,0,0,0,0,0,0,1.64,18.88,0,0,0,0
 36-46,0,1.61,0,0,21.75,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,4.83,0,0,2.42,685.62,0,0.81,0,0,0,0.81,0,0,0,73.32,0,0.81,0,0
 48-58,0,1.72,0,0,59.68,0,0.57,0,8.03,0,0,0,0,0,0.57,0,0,1.15,14.92,0,1.15,1.15,667.34,0.57,0.57,0,0,0,1.72,0,0.57,0,85.5,0,0,0,0.57
 60-70,0,0.98,0,0,43.19,0.98,0.98,0.98,4.91,0,0,0.98,0.98,0,0.98,0,0.98,0.98,11.78,0,0.98,0.98,471.13,0.98,0,0.98,0,0,0,0,0,0,47.11,0,1.96,0,0.98
 72-82,0,3.93,0,0,40.25,0,1.96,0,4.91,0,0,0,0,0,0,0,0,0,15.71,0.98,0.98,1.96,333.77,0,0.98,0.98,0,0,2.94,0,0,0,28.47,0,0.98,0.98,0
 84-94,0,4.25,0,0,44.61,0,0,0,5.31,2.12,0,0,0,0,0,0,0,0,6.37,0,2.12,2.12,193.29,0,0,0,0,1.06,1.06,0,0,0,11.68,1.06,0,0,0
 96-106,0,5.46,1.09,0,21.86,0,0,0,6.56,0,0,0,0,0,0,1.09,0,0,6.56,0,1.09,0,130.05,0,0,0,0,0,1.09,0,0,0,8.74,0,1.09,0,1.09
108-118,0,2.3,0,0.77,9.19,0.77,0,0,4.6,1.53,0,0,0,0.77,0,0,0,0,3.83,0,0.77,0.77,165.45,0,0.77,0,0,0,1.53,0,0,0,3.06,0,0.77,0,0
120,0,5.88,0,0,27.44,0,0,0,3.92,0,0,0,0,0,0,0,0,0,3.92,0,0,0,201.86,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
