stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0.82,0.82,0,0,0,0,1.64,0,0,2.46,0.82,0.82,0,0,1.64,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,1.61,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,1.72,0.57,0,0,0,0,0,0,0.57,1.15,0,1.15,3.44,0,0.57,0,0,1.15,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,1.96,0,0.98,0,0,0,0.98,0,0,0,0,0.98,2.94,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,2.94,0,0.98,2.94,0,0,0,0,0,0.98,0,0.98,12.76,0,0.98,6.87,0,3.93,0,0,1.96,0,0,0,0,4.91,0,0,2.94,1.96,0.98
 84-94,0,0,1.06,0,3.19,6.37,2.12,0,0,3.19,0,0,3.19,1.06,1.06,0,0,0,8.5,0,0,7.43,1.06,0,0,0,5.31,0,0,0,0,3.19,0,1.06,1.06,0,1.06
 96-106,0,0,0,0,1.09,6.56,3.28,1.09,0,9.84,2.19,2.19,6.56,0,1.09,0,0,0,14.21,1.09,2.19,9.84,0,4.37,1.09,0,6.56,0,0,0,0,4.37,0,2.19,4.37,0,2.19
108-118,0,0,0,0,6.13,2.3,3.06,2.3,0.77,7.66,0.77,0,7.66,0,0,1.53,0.77,0,26.04,0,0.77,9.19,0,1.53,0.77,0,2.3,0.77,0,0,0,1.53,1.53,0,3.83,2.3,0
120,0,0,1.96,0,9.8,5.88,9.8,0,0,21.56,5.88,0,5.88,1.96,0,0,0,0,50.95,5.88,0,17.64,0,3.92,3.92,0,29.4,1.96,0,0,0,1.96,0,1.96,1.96,0,0
