stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,1,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,56,1,1,1,0,1,0,0
 24-34,0,0,0,4.1,4.1,0,0,0,0,0,0,18.06,0.82,0,0,0.82,0.82,0,14.78,0,0,0,0,295.51,0,1.64,3.28,0,0.82,0,0
 36-46,0,0,0,4.03,0,0,1.61,0,0,0,0,25.78,0.81,0,0,1.61,0,0,17.72,0.81,0.81,0,0,261.84,0,0,2.42,0,0,0,0
 48-58,0,0,0,3.44,0,0,1.15,1.15,0,0,0,31.56,0,0,0,1.15,1.72,0,8.61,0,0,0,0,156.07,0,0,2.87,0,0,0,0
 60-70,0,0,0,7.85,0,0,5.89,0.98,0,0.98,0,43.19,2.94,0,0,0.98,0.98,0.98,6.87,0.98,0.98,0,0,138.39,0,0,1.96,0,1.96,0,0
 72-82,0,0,0.98,22.58,2.94,0,2.94,0,0,0,0,55.95,8.83,0,0,3.93,1.96,0.98,3.93,0,0,0,0,179.64,0,0,0.98,0.98,3.93,0,0
 84-94,0,0,0,39.3,1.06,0,2.12,7.43,0,0,0,78.59,8.5,0,3.19,3.19,3.19,0,2.12,0,0,1.06,0,457.74,0,0,0,0,7.43,0,1.06
 96-106,0,0,0,56.83,1.09,0,3.28,6.56,0,4.37,3.28,103.82,12.02,1.09,1.09,2.19,3.28,0,8.74,0,0,0,0,379.22,0,0,0,0,2.19,1.09,1.09
108-118,0,0,0,54.38,0,0.77,1.53,11.49,0,1.53,2.3,76.6,6.13,0,5.36,3.83,6.13,0.77,6.13,0,0,0.77,0,327.83,0,0,0,0.77,0.77,0,0
120,0,0,0,62.71,1.96,0,0,9.8,1.96,1.96,0,90.15,3.92,1.96,0,1.96,3.92,0,7.84,0,0,0,0,239.09,0,0,0,1.96,9.8,0,0
