stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,294.22,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,18.4,0,0,0,39.43,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,244.47,23.66,0,0,76.23,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,3.15,0,28.32,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,343.02,15.73,0,0,122.73,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,7,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,6,66,1,0,1,3,0,0,8,1,12,20,0,1,0,0
 24-34,0,0,1.64,0,2.46,0.82,0,11.49,0,0.82,2.46,0,0,0.82,0,0,0,0,0,0,9.03,0,0,6.57,151.04,0,2.46,0.82,0,2.46,0,0,0,1.64,41.86,0,4.1,0,0.82
 36-46,0,0,0,0,1.61,0,0,24.98,0.81,0.81,6.45,0,0,0,0,0,0,0,0,0.81,11.28,0,1.61,1.61,125.68,0.81,2.42,0.81,0,2.42,0,0,0,0,37.87,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,0,50.49,0.57,1.15,6.31,0,0,0.57,0,0,0,0.57,0,0,14.35,1.72,0.57,4.02,111.32,0,1.72,0.57,0,0,0.57,0,0,0,35.58,0,0.57,0,0.57
 60-70,0,0,0,0,0,0.98,0,54.97,0,0,13.74,0,0,0,0,0,0,0,0,0,22.58,0.98,0,0.98,106,0,0,0,0,0.98,0,0,0,0,19.63,0,0.98,0,0
 72-82,0,0,0,0,0.98,4.91,0,54.97,0,3.93,8.83,0,0,0,0.98,0.98,0,0,0,0,30.43,0,0,0.98,79.51,0,3.93,1.96,0,2.94,0,0,0,0,6.87,0,2.94,0,0.98
 84-94,1.06,0,0,0,5.31,1.06,0,36.11,0,2.12,13.81,0,0,1.06,0,1.06,0,0,0,1.06,23.36,0,3.19,2.12,56.29,0,2.12,2.12,0,6.37,0,0,0,0,5.31,1.06,1.06,0,0
 96-106,0,0,1.09,0,5.46,1.09,1.09,21.86,0,1.09,6.56,2.19,0,0,2.19,0,1.09,0,2.19,0,24.04,0,1.09,4.37,52.46,0,0,1.09,0,2.19,0,0,0,0,2.19,0,4.37,0,0
108-118,0,0,0,0,5.36,0,2.3,14.55,0.77,0,10.72,1.53,0,0,1.53,1.53,2.3,0,0,0,24.51,0,1.53,4.6,40.6,0.77,0,0.77,0,2.3,0,0,0,0,0.77,0,0,0.77,0.77
120,0,0,0,0,3.92,1.96,0,7.84,1.96,0,1.96,0,0,0,0,0,0,0,0,0,9.8,1.96,0,1.96,48.99,0,1.96,0,0,3.92,0,0,0,0,0,0,1.96,0,0
