stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,13.14,0,0,28.92,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,231.33,10.51,0,0,110.41,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.55,15.73,0,0,135.32,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,4,8,0,0,10,0,1,0,0,1,0,0,0,0,13,0,0,6,117,0,3,5,3,0,0,0,25,8,0,11,81,0,0,0,0,2
 24-34,0.82,0,0,1.64,4.93,1.64,16.42,0,1.64,9.85,1.64,0,0.82,0,0,0,0,0,0,20.52,0,0,15.6,196.18,0,4.1,2.46,0,0,1.64,0,0,1.64,0,8.21,67.31,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,49.95,0,0.81,7.25,0.81,0,0.81,0,0,0,0,0.81,0,27.39,0,0.81,10.47,258.62,0.81,5.64,4.83,0,0,0,0,0,0.81,0,0,62.84,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,91.81,0,0,10.9,0,0,0.57,0,0,0.57,0,0,0,41.89,0,0,4.59,206,0,3.44,1.72,0,0,2.87,0,0,0.57,0,0,43.04,0,1.15,2.87,0,0
 60-70,0,0,0,0,4.91,0,146.25,0,0,5.89,0,0,0,0,0,0.98,0.98,0.98,0.98,38.28,0,0.98,5.89,191.4,0,3.93,3.93,0,0,1.96,0,0,0,0,0,24.54,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,5.89,6.87,113.87,0.98,2.94,15.71,0,0,0,0,0,1.96,0,0,0,51.05,0.98,0.98,4.91,145.29,0,14.72,1.96,0,0,1.96,0,0,0,0,0,9.82,0,0.98,2.94,1.96,0
 84-94,0,0,1.06,0,5.31,3.19,87.09,0,1.06,10.62,4.25,0,3.19,2.12,1.06,2.12,0,0,0,28.68,0,1.06,4.25,90.27,0,4.25,3.19,0,0,2.12,0,0,2.12,0,0,8.5,0,1.06,1.06,2.12,0
 96-106,0,0,1.09,0,8.74,3.28,51.36,1.09,1.09,12.02,0,0,0,3.28,2.19,0,4.37,0,0,34.97,0,1.09,3.28,51.36,0,10.93,9.84,0,1.09,5.46,0,0,3.28,0,0,4.37,0,1.09,3.28,1.09,1.09
108-118,0,0,0,0,6.13,1.53,35.23,0,2.3,9.96,2.3,0,1.53,1.53,0.77,0.77,0.77,0.77,0,31.4,0.77,1.53,5.36,62.04,0.77,4.6,6.89,0,0,0.77,0,0,1.53,0,0,3.83,1.53,0.77,1.53,0,0.77
120,0,0,0,0,3.92,3.92,41.16,0,3.92,9.8,0,0,0,1.96,0,0,3.92,1.96,0,19.6,0,3.92,1.96,82.31,0,3.92,5.88,0,0,1.96,0,0,1.96,1.96,0,3.92,0,1.96,0,1.96,0
