stage,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,36.8,0,13.14,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,1.64,3.28,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,0.57,1.15,0.57,0,0,0,0,1.72,0.57,0
 60-70,0,0,1.96,0,0.98,0,1.96,0,0,0,0.98,0,0.98,0,0
 72-82,0,0.98,0,1.96,0,2.94,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,1.06,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0,0,1.53,0.77,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
