stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,1,2,0,0,0,13,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,240.51,0.82,9.03,0,0,2.46,0,0,0,0.82,89.47,0,0,0,0
 36-46,0,0,0,1.61,0,0,5.64,0,0,0,8.06,0,0,0,0,0,0,0,4.03,0,0,0,611.5,0,4.03,0,0,0.81,0.81,0,0,0,158.72,0,0,0,0
 48-58,0,0,0,1.15,0,0,52.79,0,0,0.57,28.12,0.57,0,0,0,0,1.15,0.57,6.89,0,0,0.57,763.16,0,7.46,0,0,1.72,0,0,0,0,162.39,0,0,0.57,0.57
 60-70,0,0,0,0,0.98,0,179.62,0,0.98,0.98,24.54,0,1.96,0,0,0,0,0,13.74,0.98,0,1.96,1010.97,0,4.91,0.98,0,0.98,0,0,0.98,0,189.43,0,0,0.98,1.96
 72-82,0,0,0,2.94,1.96,0,223.82,0.98,0,0.98,17.67,0,0,0.98,0,0,0,0,15.71,0,0,1.96,843.25,0,16.69,0,0,1.96,0,0,0,0,99.15,0,0,0.98,0.98
 84-94,0,0,0,5.31,0,0,126.38,1.06,0,0,9.56,0,0,0,0,1.06,0,0,14.87,0,0,0,385.52,0,3.19,0,0,0,0,0,0,0,61.6,0,0,0,0
 96-106,0,0,0,2.19,2.19,1.09,91.8,1.09,0,1.09,16.39,0,0,0,0,1.09,1.09,0,13.11,0,0,1.09,403.26,0,13.11,1.09,0,3.28,0,0,0,0,17.49,0,1.09,0,0
108-118,0,0,0,1.53,0.77,0,92.68,1.53,0,0,13.79,0,0,0,0.77,0,1.53,0,9.96,0,0.77,0.77,384.51,0,6.13,0,0,0.77,0,0,0,0,14.55,0.77,0,1.53,0
120,0,0,0,9.8,0,1.96,76.43,0,0,0,19.6,0,0,0,0,0,0,0,9.8,0,0,0,450.75,0,5.88,0,0,0,0,1.96,0,0,29.4,0,0,0,0
