stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,3017.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1514.02,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,42.91,12.26,0,0,18.39,110.33,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,18.4,0,15.77,0,0,73.6,0,0,0,5.26,0,0,0,0,0,0,0,0,620.38,5.26,0,0,149.84,10.51,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,667.16,18.88,0,0,110.14,3.15,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,2,4,42,8,5,0,23,4,1,0,2,0,0,15,0,0,2,175,4,17,23,5,2,4,4,95,2,103,0,0,0,0,0
 24-34,0,0,2.46,3.28,9.03,0,20.52,0.82,34.48,5.75,0,1.64,1.64,5.75,0.82,9.85,0,0,2.46,352.15,0,36.12,10.67,0,2.46,0,0,29.55,3.28,107.53,0,0,0.82,0,0
 36-46,0,0,1.61,0.81,2.42,0,26.59,0,33.03,1.61,0,0,0,0,0.81,8.06,0,0,1.61,268.29,0,13.7,14.5,0,3.22,0,0,16.92,0,89.43,0,0,1.61,0,0.81
 48-58,0,0,0,0,2.87,0.57,36.15,0,35,0.57,0,0,0.57,0.57,1.15,12.05,0,1.15,0,146.32,0,10.33,7.46,0,0.57,0,0,2.87,0,45.33,0,0,2.3,0,0.57
 60-70,0,0,0,0,3.93,0,24.54,0,29.45,0.98,0,0,0,0,0.98,9.82,0,0,0,73.61,0,11.78,1.96,0,0,0,0,1.96,0,21.59,0.98,0,0,0.98,0.98
 72-82,0,0,1.96,0,0.98,0,18.65,0,31.41,2.94,0,0,0,1.96,0,12.76,0,0,1.96,85.4,0,10.8,5.89,0,2.94,0,0,1.96,0,10.8,0,0,1.96,0,0
 84-94,0,0,1.06,2.12,4.25,0,18.05,0,13.81,1.06,0,3.19,0,1.06,1.06,10.62,1.06,1.06,1.06,41.42,0,18.05,4.25,0,2.12,0,0,11.68,0,13.81,1.06,0,2.12,0,0
 96-106,0,0,2.19,0,4.37,1.09,13.11,0,22.95,1.09,0,7.65,1.09,5.46,0,4.37,0,3.28,0,39.34,0,28.41,14.21,0,1.09,1.09,0,5.46,0,5.46,4.37,1.09,1.09,1.09,0
108-118,0,0,0.77,0,2.3,0.77,7.66,0,18.38,0.77,0,6.13,0,3.06,0,3.06,0,0,0,46.72,0,19.15,8.43,0,0,1.53,0,3.06,0,2.3,0.77,0,2.3,0,0
120,0,0,0,0,0,0,0,0,13.72,0,0,1.96,0,1.96,0,0,0,0,0,31.36,0,5.88,1.96,0,0,0,0,5.88,0,1.96,0,0,1.96,0,0
