stage,blastomeres,erythrocytes,eye,fast_muscle,fin_epithelia,gut,heart,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,58,0,0,0,0,1,0,0,0,0,1,0,0,0,60,0
 24-34,0,8.21,0,0,0,0,0,0,0,0,0,2.46,0,0,0,149.4,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,40.28,0.81
 48-58,0,0,1.15,0,0,0,0,0,0,5.74,0,0,0,0,0,10.33,0
 60-70,0,0,1.96,0,0,0,0,0,0,12.76,0,0.98,0,0.98,0,2.94,0
 72-82,0,0,1.96,0,0,0,0.98,0,0,44.17,0,1.96,0.98,15.71,0,4.91,0
 84-94,0,0,4.25,0,0,1.06,0,0,0,28.68,0,3.19,0,55.23,0,6.37,0
 96-106,0,0,6.56,0,1.09,0,1.09,2.19,0,39.34,0,10.93,0,97.26,2.19,9.84,0
108-118,0,0,3.83,0,0,0,0.77,0.77,0.77,39.83,0.77,0.77,0.77,100.34,0,7.66,0
120,0,1.96,0,1.96,0,0,0,1.96,0,41.16,0,1.96,0,80.35,1.96,3.92,0
