stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,somites,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,4.93,0,0,0,0,0,0,0,0.82,0,0.82,1.64,0.82,16.42,0,0.82,0,4.1
 36-46,4.83,0,0.81,0.81,0,0,0,0,0,0.81,0,4.03,0,25.78,0,0,0,1.61
 48-58,4.59,0,1.15,1.15,0,0,0,0,0,1.72,0,1.72,0,15.49,0,1.15,0,0.57
 60-70,1.96,0.98,0.98,1.96,0,0,0,1.96,0,0.98,0,2.94,0,24.54,0,0,0,1.96
 72-82,6.87,0,0.98,1.96,0,0,0,0.98,0,0.98,0,0.98,0,28.47,0,0,0.98,2.94
 84-94,8.5,0,0,0,0,0,1.06,2.12,2.12,1.06,0,0,0,46.73,0,0,0,2.12
 96-106,18.58,0,1.09,2.19,0,0,0,1.09,0,2.19,1.09,0,0,59.01,0,0,0,2.19
108-118,7.66,0,0,0.77,0,0.77,0,0.77,0.77,0,0,3.06,0,36.77,0,0,0,1.53
120,17.64,0,0,3.92,1.96,0,0,0,0,0,3.92,0,0,52.91,0,0,0,0
