stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.68,0,0,0,0,0
  5-6,79.69,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,643.61,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,10.51,0,105.15,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,15.73,0,34.62,0,0,0,0,0
 14-21,0,0,0,0,52,0,0,1,0,0,5,0,0,0,46,0,0,0,0,1,6,0,0,7,0,1,0,1,0,146,0,4,0,0,0
 24-34,0,0,0,2.46,42.68,0,0.82,7.39,0,0.82,3.28,2.46,0,0,132.98,0,2.46,0,0.82,1.64,26.27,0,0.82,25.45,0.82,7.39,6.57,0,0,233.12,7.39,5.75,0,0,0
 36-46,0,0,0.81,0,24.17,0,2.42,2.42,0,0,4.83,1.61,0,0,48.34,0,3.22,0.81,0,0.81,7.25,0,0.81,8.86,0,9.67,4.03,0,0,183.69,4.03,4.03,0,0,0
 48-58,0,0,0,1.15,18.36,0,5.16,13.77,0,0,1.72,19.51,0,0,18.94,0,3.44,0.57,0,5.16,7.46,0,0.57,10.9,0,2.87,6.89,0,0,106.73,2.3,2.3,0,0,0
 60-70,0,0,0.98,0.98,46.13,0,4.91,12.76,0,0,3.93,3.93,0,0,23.56,0,10.8,0.98,0,0,4.91,0,0,13.74,0,1.96,5.89,0,0,110.91,3.93,2.94,1.96,0,0
 72-82,0,0,3.93,0.98,71.66,0,3.93,12.76,0.98,0,31.41,4.91,0,0.98,63.81,0,16.69,3.93,0,6.87,9.82,0,0,13.74,0,7.85,20.61,0,0,151.18,3.93,0.98,10.8,0,0.98
 84-94,0,0,2.12,1.06,151.87,1.06,3.19,24.43,0,3.19,48.85,9.56,0,0,95.58,0,11.68,9.56,0,0,12.74,1.06,0,10.62,0,13.81,20.18,0,0,354.72,5.31,1.06,27.61,0,1.06
 96-106,0,0,4.37,0,186.88,4.37,9.84,9.84,0,5.46,68.85,0,1.09,0,116.93,0,24.04,10.93,2.19,2.19,14.21,0,0,21.86,0,16.39,18.58,0,0,349.71,5.46,1.09,33.88,0,0
108-118,0,0,3.06,1.53,192.26,0,6.13,21.45,0,0,64.34,0,0,0.77,100.34,1.53,18.38,18.38,0,3.06,10.72,0.77,0,15.32,0,16.85,19.15,0,0.77,288.77,6.89,0.77,46.72,0.77,0
120,0,0,0,0,160.7,0,1.96,25.48,0,9.8,23.52,0,0,0,52.91,0,11.76,7.84,0,3.92,7.84,0,0,29.4,0,13.72,13.72,0,0,164.62,7.84,0,21.56,0,0
