stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,52.71,527.12,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,24.52,281.96,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,26.29,0,0,15.77,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,5.75,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,1.61,0,16.11,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0.57,1.15,0.57,34.43,0.57,0,0,0,1.15,0.57
 60-70,0,0,0,0.98,0,0.98,0,22.58,0,0,0,0,1.96,0
 72-82,0,0,0,2.94,0,2.94,0,6.87,0.98,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,1.06,8.5,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,9.84,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,9.8,0,0,0,0,0,0
