stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,0
 24-34,0,1.64,0.82,0,0,4.1,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,59.1,18.88,0,0,0,40.22,0,0,0,0
 36-46,0,0,0,0,0,8.86,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0.81,156.3,12.09,0,0,0,75.73,0,0.81,0,0
 48-58,0,0,0.57,0,0,13.77,0,0,0.57,4.59,0,0,0,0,0,0,6.31,0,1.72,280.02,6.89,0,0,0,46.48,0,1.72,0,0.57
 60-70,0,0.98,0.98,0,0,27.48,0,0,0,28.46,0,0,0,0.98,0,0,8.83,0,0,584.99,3.93,0,0.98,0,48.09,0,0.98,0,0
 72-82,0,1.96,1.96,0,0,64.79,0,0,0,74.61,0.98,0,0,0.98,0,0,31.41,0,0,771.59,13.74,0,0,0,30.43,0,0.98,0,0
 84-94,0,2.12,6.37,0,0,54.16,0,1.06,0,40.36,1.06,0,0,1.06,1.06,1.06,29.74,1.06,1.06,364.28,3.19,3.19,0,0,16.99,1.06,0,0,0
 96-106,0,1.09,2.19,0,0,22.95,1.09,0,0,72.13,2.19,0,2.19,1.09,1.09,0,29.51,0,0,347.53,7.65,2.19,0,4.37,10.93,0,0,0,0
108-118,0,2.3,6.13,0.77,0.77,24.51,0,0.77,0,66.64,0.77,0,0.77,0.77,0.77,0.77,29.11,0,1.53,415.15,9.19,3.06,0,0,8.43,0,0.77,0.77,0
120,0,0,3.92,0,1.96,35.28,0,0,0,21.56,3.92,0,3.92,0,0,1.96,23.52,0,0,358.64,1.96,1.96,0,1.96,9.8,0,0,0,0
