stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,257.44,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.67,0,0,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,192,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,2,0,1,0,22,7,3,0,0,0,0,0
 24-34,0,0,0,343.12,10.67,4.93,0,10.67,0,9.03,0,0,0,0.82,1.64,0,0,4.1,0.82,0,3.28,51.71,0,1.64,0,0,1.64,0,0,0,7.39,2.46,8.21,0,0,6.57,0,1.64
 36-46,0,0,0,144.21,0.81,5.64,0.81,27.39,0,6.45,1.61,0,0,0,0.81,0,0,5.64,1.61,0,0.81,49.15,0,3.22,0,0,0,0,0,0,6.45,0,5.64,0,0,4.83,0,0
 48-58,0,0,0,109.02,0.57,8.03,0,52.79,0,5.74,0,0,0,2.87,0.57,0,0.57,5.16,2.3,0.57,1.15,24.1,0,1.15,0,0,1.15,0,0,0,0.57,0,8.61,0,0,4.59,0,0
 60-70,0,0,0,162.93,0.98,15.7,5.89,35.33,0.98,1.96,1.96,0,1.96,1.96,1.96,0,0,6.87,0.98,0,0,28.46,0,1.96,0,0,1.96,0,0,0,0,0,3.93,0,0,2.94,0.98,0
 72-82,0,0,0,143.32,0,8.83,9.82,39.27,0,2.94,0,0,0.98,2.94,1.96,0,0,8.83,0.98,0,0,28.47,0,2.94,1.96,0,3.93,0,0,0,0,0,2.94,0.98,0.98,4.91,0,0
 84-94,0,0,0,177.36,2.12,5.31,6.37,43.54,0,3.19,3.19,0,0,9.56,3.19,0,0,10.62,1.06,0,3.19,22.3,0,3.19,0,0,19.12,0,0,0,1.06,0,2.12,2.12,0,9.56,1.06,2.12
 96-106,0,0,0,230.59,2.19,15.3,7.65,52.46,0,4.37,3.28,0,1.09,9.84,4.37,0,0,12.02,2.19,0,1.09,18.58,0,10.93,1.09,0,15.3,0,0,0,0,0,0,1.09,0,7.65,0,0
108-118,0,0,0,183.07,0.77,5.36,3.83,73.53,0,3.06,4.6,0,0,5.36,3.06,0,0,5.36,1.53,0.77,0,12.26,0,3.83,0.77,0,16.85,0,0,0,0,0,0,2.3,1.53,2.3,0.77,0
120,0,0,0,213.62,3.92,3.92,11.76,39.2,0,3.92,3.92,0,0,7.84,1.96,1.96,1.96,1.96,1.96,0,1.96,19.6,0,5.88,0,0,11.76,0,0,1.96,0,0,0,0,0,1.96,0,0
