stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,65.89,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,47.32,2.63,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,280.08,3.15,0,0,28.32,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,143,2,1,0,0,2,0,0,2,0,1,7,2,86,2,0,274,1,5,5,2,11,13,1,0
 24-34,0,0,0,27.91,0.82,4.1,0,0,1.64,0,0.82,0.82,4.93,0,4.1,0.82,55.82,0,2.46,142.83,0,0,0,0,0,15.6,1.64,0.82
 36-46,0,0,0,5.64,0,12.09,0,0.81,1.61,0,0,0,0.81,0,4.83,1.61,55.59,0,0.81,49.95,0,0.81,0,0,0,13.7,0,0
 48-58,0,0,0,1.15,0,4.59,0,0.57,0,0,0,0,0,0,4.02,0,19.51,0,0,22.95,0,0.57,0,0,0,5.74,0,0
 60-70,0,0,0,0.98,0,19.63,0,0.98,4.91,0,0,0,0,0,1.96,0,34.35,0,0,8.83,0,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,3.93,0.98,8.83,0,0.98,7.85,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,2.12,0,2.12,1.06,0,1.06,0,0,0,1.06,0,2.12,1.06,11.68,0,1.06,14.87,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0,5.46,0,0,7.65,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0.77,5.36,0,0,0.77,0,1.53,0,0.77,0,1.53,0,8.43,0,0.77,2.3,0,0,0,0,0,0.77,0,0
120,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,1.96,0,0
