stage,blastomeres,endoderm,fin_epithelia,mural_cell,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,26.29,0,0,0,0
 10-12,0,3.15,0,0,44.06,0,25.18,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,1,2,0,1
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,2.42,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
