stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1159.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,796.85,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,12.26,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,13.14,0,0,0,28.92,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,207.67,21.03,0,0,126.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,3.15,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,251.76,9.44,0,0,100.7,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,32,5,0,7,0,0,0,6,3,0,0,0,1,0,0,0,0,17,0,10,197,1,1,3,1,0,2,27,1,1,23,54,0,0,1,0,0
 24-34,0,0,0.82,4.1,8.21,1.64,0,26.27,0,0,0,7.39,0.82,0,0,0,0,0.82,0.82,0.82,0.82,22.16,0,7.39,268.42,0.82,0.82,3.28,0,0,6.57,0,0,0,5.75,50.07,0,0,7.39,0,1.64
 36-46,0,0,0,0,2.42,0,0,39.48,0,0,0.81,8.06,0.81,0,0,2.42,0,0,0,0,0,29,2.42,10.47,209.47,0.81,1.61,0.81,0,0,3.22,0,0.81,0,0,40.28,0,0,3.22,0,0
 48-58,0,0,0,0,2.3,0,0,51.64,0,0.57,0.57,13.77,0.57,0,1.15,0.57,0,0,1.72,0,0,29.84,1.15,3.44,125.09,0,0.57,2.87,0,0,1.72,0,0,0,0,28.69,0,0.57,0.57,0,0
 60-70,0,0,0,0,6.87,0,0,53,0.98,0,1.96,15.7,0.98,0,0,0,0.98,0,3.93,0,0.98,31.41,0.98,3.93,115.82,0,0,1.96,0,0,2.94,0,0,0,0,13.74,0,0,2.94,0,0.98
 72-82,0,0,0.98,0,4.91,0.98,0,60.86,0,0.98,1.96,25.52,0.98,0,3.93,0,1.96,0.98,3.93,0,1.96,42.21,2.94,8.83,117.8,0,0,0.98,0,0,3.93,0,0,0,0,6.87,0.98,0,7.85,0.98,0.98
 84-94,0,0,0,0,8.5,1.06,0,30.8,0,0,4.25,5.31,3.19,0,0,1.06,0,1.06,0,0,0,27.61,0,6.37,44.61,3.19,1.06,1.06,0,1.06,10.62,0,1.06,0,0,1.06,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,3.28,1.09,0,22.95,0,1.09,0,18.58,1.09,0,1.09,1.09,1.09,0,1.09,1.09,0,22.95,0,1.09,25.14,0,1.09,4.37,0,0,4.37,0,0,0,0,1.09,0,1.09,1.09,0,0
108-118,0,0,0,0,3.06,0,0.77,20.68,0.77,0,0,15.32,0.77,0,0.77,1.53,0,0.77,0,0.77,0,20.68,1.53,3.83,55.92,0,0,0,0,0,3.06,0,1.53,0,0,0.77,0,0.77,1.53,0.77,0.77
120,0,0,0,0,7.84,0,0,11.76,0,1.96,0,11.76,0,0,0,3.92,0,0,0,0,0,13.72,1.96,5.88,45.08,0,0,1.96,0,0,7.84,0,1.96,0,0,0,0,0,1.96,0,0
