stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,1,0,0,1,0,0,1,0,0,3,3,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,3.28,0,0,0,25.45,0,1.64,0,0,0,0,0,0,1.64,0,3.28,0,0,0
 36-46,0,0,0.81,0,4.03,0,0,0.81,0,0,0,1.61,0,0,0,40.28,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,11.48,0,1.15,0.57,0,0,0,4.02,0,0,1.15,47.05,0,3.44,0,0,0,0,0,0,0,0,1.72,0.57,0,0
 60-70,0,0,0.98,0,74.6,0,0,10.8,0,0,0,5.89,0,0.98,0,119.75,0,3.93,0,0,0,0.98,0,0,0,0,7.85,0.98,0,0
 72-82,0,0,0.98,0.98,134.49,0,0,8.83,0,0.98,0,15.71,0,0,1.96,131.54,0,3.93,0,0,0,0,0,0,0,0,6.87,0,0.98,0
 84-94,0,0,2.12,0,92.4,1.06,0,11.68,2.12,0,0,5.31,0,0,0,69.03,0,0,0,0,0,0,0,0,0,0,4.25,2.12,1.06,0
 96-106,0,0,2.19,0,90.71,0,0,9.84,0,0,0,3.28,1.09,0,3.28,68.85,0,3.28,0,0,1.09,1.09,0,0,0,0,2.19,1.09,0,0
108-118,0,0,2.3,0,77.36,0,0,9.19,0,0,0.77,6.89,0,0.77,3.06,72,0,0,0.77,0,0,0.77,0,0.77,0,0,1.53,0,0,0.77
120,0,0,1.96,0,101.91,1.96,0,17.64,0,3.92,0,11.76,0,0,0,107.79,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0
