stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,51,0,0,2,0,0,0,0,93,0,0,0,1,0,3,5,0,0
 24-34,0,0,0.82,1.64,0,141.19,0,0,0,0,0,0,0,10.67,0,0,0.82,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,107.15,0.81,1.61,0,0.81,0,0.81,0.81,8.06,0,0,0.81,0,0.81,0,3.22,0,0
 48-58,0,0,0,0,0,63.69,0,1.72,0.57,0,0,1.15,0,5.74,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,49.08,0,1.96,0,0,0,0,0,4.91,0.98,0,0,0,0,0,0,0,2.94
 72-82,0,0,0,0,0,48.1,0,0.98,3.93,0,0,0,0,7.85,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,45.67,0,0,1.06,0,0,1.06,0,5.31,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,36.06,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,36,0,0.77,1.53,0,0,3.06,0,3.83,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,19.6,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
