stage,endoderm,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,1,2,1,0,0,0,0,6,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,3.28,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,8.06,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,2.87,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,4.91,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,0,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0.77,0,1.53,0.77,0,0,2.3,0,0,0.77,0,0,0
120,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0
