stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,12,0,0,0,0,0,2,1,4,1,0,0,0,1
 24-34,2.46,2.46,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,4.1,16.42,0,0.82,0.82,0,0.82,0,0,0.82,2.46,0,0,4.1,0
 36-46,0.81,0.81,0,0.81,0,2.42,0,0,0,0.81,0,0,0.81,0,0,0,1.61,11.28,0,0.81,0.81,0,0.81,0,0,0,0.81,0,0,0.81,0
 48-58,1.15,2.3,0,0,0,1.15,0,0,0,0,0,0,0,4.59,0,0,1.72,8.61,0,0,0,0.57,0.57,0,0,0,2.3,0,0,2.87,0
 60-70,0,1.96,0,0,0.98,2.94,0.98,0,0,0,0,0,0,8.83,0,0.98,0.98,6.87,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0
 72-82,0,2.94,0,0,0.98,1.96,1.96,0.98,0,0,0,0,0,10.8,0.98,0.98,1.96,16.69,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0.98,0
 84-94,1.06,4.25,0,0,2.12,1.06,1.06,0,0,0,0,0,1.06,8.5,0,1.06,1.06,6.37,1.06,0,0,0,2.12,0,0,0,1.06,1.06,1.06,2.12,0
 96-106,1.09,2.19,1.09,0,1.09,1.09,0,0,0,1.09,0,1.09,1.09,6.56,0,0,2.19,7.65,0,1.09,0,0,1.09,0,0,0,1.09,0,0,1.09,0
108-118,0.77,1.53,0.77,0,0,3.06,0.77,0.77,0.77,0.77,0,0,0.77,12.26,0,1.53,1.53,5.36,0,0,0,0,0,0,0,0,0,0,0.77,5.36,0
120,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0,9.8,0,0,0,11.76,0,1.96,0,0,3.92,0,0,0,0,0,0,1.96,0
