stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,8,43,5,0,0,0,0,0,0,3,0,8,63,0,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,11.49,0,0.82,1.64,19.7,0.82,0,0.82,0,0,0,0,0.82,0,30.37,0,0,22.98,149.4,5.75,6.57,0,0,0,0,0,0,2.46,1.64,104.25,0,0,0.82,0,0.82
 36-46,0,0,0,3.22,0,0,15.31,1.61,0,1.61,28.2,0,0,0,0.81,0,0,0,0,0.81,58.81,0,1.61,20.14,159.52,5.64,5.64,0,0,0,0,0.81,0,6.45,0.81,99.1,0,0,2.42,0,0
 48-58,0,0,0,2.3,0,0,22.38,2.87,0.57,2.3,33.28,0,0,0.57,0,0.57,0.57,0,0,0.57,87.79,0,1.15,16.07,78.61,4.02,3.44,2.3,0,0,0,0,0,4.59,0,75.17,0,0.57,1.15,0,1.15
 60-70,0,0,0.98,0.98,0.98,0,21.59,3.93,0,3.93,41.22,0,0,1.96,0,0,0,0.98,0,0,149.19,0.98,1.96,12.76,73.61,2.94,2.94,1.96,0,0,1.96,0,0,0,0,24.54,0,4.91,3.93,0.98,0.98
 72-82,0,0,0,3.93,0.98,0,24.54,0,0,12.76,60.86,0,0,2.94,0.98,0,0,0.98,0,0,249.34,0.98,6.87,14.72,82.46,0.98,13.74,4.91,0,0.98,0,0,0,1.96,0,22.58,0,4.91,5.89,9.82,0
 84-94,0,0,1.06,7.43,0,0,35.05,2.12,0,7.43,41.42,1.06,0,2.12,1.06,0,2.12,1.06,0,0,180.55,0,6.37,10.62,57.35,4.25,3.19,4.25,0,2.12,1.06,0,0,3.19,0,20.18,0,4.25,4.25,8.5,0
 96-106,1.09,0,2.19,5.46,3.28,1.09,13.11,7.65,0,9.84,57.92,0,0,5.46,2.19,0,0,0,1.09,0,210.92,0,2.19,8.74,68.85,3.28,12.02,9.84,0,2.19,1.09,0,0,4.37,0,24.04,1.09,13.11,13.11,8.74,0
108-118,0,0,0,3.83,0.77,2.3,18.38,6.13,0,10.72,53.62,1.53,0,0.77,1.53,0.77,2.3,0.77,0.77,0,180.77,0,3.83,8.43,72,6.89,6.89,8.43,0,1.53,0.77,0,0,0,0,12.26,0,6.89,6.13,7.66,0
120,0,0,0,5.88,0,0,17.64,3.92,0,0,35.28,1.96,0,3.92,0,0,0,0,3.92,0,143.06,0,1.96,9.8,58.79,1.96,3.92,1.96,0,0,0,0,0,0,0,5.88,0,9.8,3.92,5.88,0
