stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,6,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,1.09,0,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0.77,0,2.3,0,0,0.77,0,0.77,0.77,0,0,0,1.53,0.77,0.77,0,0,0,0,0,0.77
120,3.92,0,0,0,0,0,0,0,1.96,1.96,0,0,3.92,3.92,0,1.96,0,3.92,0,0,0,0
