stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,34.17,10.51,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,28.32,0,0,0,0,0,0,0
 14-21,0,0,0,4,7,0,0,0,1,0,0,0,0,4,47,1,0,0,2,0,9,1,10,14,1,0
 24-34,0,0,0,0.82,9.85,0,0,0,1.64,0,0,11.49,0,4.93,76.34,0.82,0,0,0,0,0,0,0,27.91,0.82,0.82
 36-46,0,0,0,0,31.42,0,0.81,0.81,5.64,0,0,11.28,0.81,1.61,57.2,0,0,0,0,1.61,0,0.81,0,16.11,0.81,0
 48-58,0,0,0,0,49.35,0,0,0,4.59,0,0,8.61,0,2.87,43.61,0,0,0,0,1.15,0,0,0,9.18,0.57,0
 60-70,0,0,0,0,45.15,0,0,1.96,1.96,0,0,10.8,0,0,32.39,0.98,0,0.98,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,26.5,0,0,0.98,7.85,0,0,9.82,0,1.96,17.67,0,0,0.98,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,16.99,0,0,0,6.37,0,1.06,11.68,0,1.06,8.5,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,1.09,12.02,1.09,0,0,5.46,0,0,6.56,0,1.09,5.46,0,0,0,0,3.28,0,0,0,1.09,0,0
108-118,0,0,0,0,7.66,0,0,1.53,3.06,0,0,3.83,0.77,1.53,8.43,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,3.92,23.52,0,0,1.96,1.96,1.96,0,3.92,0,0,5.88,0,1.96,0,0,1.96,0,0,0,0,0,0
