stage,axial,blastomeres,erythrocytes,eye,glial,gut,immune,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,taste,vasculature
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.87,0,0,17.21,0,1.15,0.57,0,0,0.57,0,0.57
 60-70,0,0,0,9.82,0,0,15.7,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,46.14,0.98,0,48.1,0,0,0,0,0,0,0.98,2.94
 84-94,0,0,0,20.18,0,0,52.04,0,0,0,0,0,0,5.31,0
 96-106,0,0,0,26.23,2.19,0,53.55,1.09,1.09,0,0,0,0,0,1.09
108-118,0,0,0,13.79,0,0.77,58.21,0.77,2.3,0,0,0,0,7.66,0
120,0,0,0,7.84,1.96,0,54.87,0,5.88,0,1.96,0,0,3.92,3.92
