stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,1,1,2,3,0,0,0,0,1,0,7,0,2,0,0,3,1,1,5,0,0
 24-34,0,0,0,2.46,1.64,0,0.82,0,0.82,2.46,0.82,5.75,0,3.28,1.64,0,0.82,0,0,1.64,0,0
 36-46,0.81,0,0,0,0.81,0,0,0,0,3.22,0.81,8.86,0,3.22,0,0,0.81,0,0,2.42,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0.57,2.3,0,5.74,0,2.3,0,0,1.15,0.57,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0.98,0,6.87,0,7.85,0,0.98,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,7.85,2.94,0,0,0,0,4.91,0,8.83,0,0,0,0,0,0.98,0,1.96,0.98,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,2.12,0,2.12,0,1.06,0,0,18.05,0,0,0,0,0
 96-106,0,1.09,0,2.19,1.09,0,0,2.19,0,4.37,0,3.28,0,0,0,0,16.39,0,0,0,0,0
108-118,0,0.77,0,2.3,0.77,0.77,0,3.83,0.77,0.77,0,0.77,0.77,0,0.77,0,7.66,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,7.84,0,0,0,0,0
