stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,9.44,0,6.29,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,3.28,0,18.88,0,0,0,0,0.82,4.93,0
 36-46,0,0,0.81,0.81,3.22,0,2.42,0,3.22,0.81,9.67,0,0,0,0,0,2.42,0.81
 48-58,0,0,1.15,0,3.44,0,0.57,0,1.15,0.57,5.74,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,4.91,0,0,0,0.98,0,2.94,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,3.93,0,0,0,0.98,0,3.93,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.37,0,0,1.09,2.19,2.19,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0.77,0,2.3,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0
