stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,pericytes,pronephros,spinal_cord,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,14,5,0,3,0,0,3,0,0,10,1,0,0,0,1,0,8,1,0
 24-34,1.64,9.03,0.82,0,8.21,0,0,3.28,0,0,13.95,2.46,0,0,3.28,0,0,3.28,0.82,0
 36-46,0,2.42,4.03,0,17.72,0,0,4.03,0,0,14.5,5.64,0,1.61,0,4.03,0,0.81,1.61,0
 48-58,0,0,2.87,0,34.43,0,0.57,2.3,0.57,0,5.74,2.3,0,0,0.57,1.72,0,0,1.15,0
 60-70,0,0,0,0,39.26,0.98,0,0,0,0,12.76,3.93,0,0,0,3.93,0.98,0,0,0.98
 72-82,1.96,0,1.96,0,42.21,0,4.91,2.94,0,0,11.78,1.96,0,1.96,0.98,6.87,0,1.96,0,0.98
 84-94,0,0,2.12,0,59.47,0,0,6.37,0,0,20.18,5.31,0,1.06,0,3.19,0,3.19,0,0
 96-106,0,0,0,2.19,53.55,0,1.09,13.11,0,0,25.14,2.19,1.09,0,1.09,12.02,0,1.09,0,0
108-118,0,0,0.77,0,66.64,0,0.77,19.92,0,0.77,38.3,1.53,0,0,0,8.43,0,1.53,0,0
120,0,0,0,0,27.44,0,1.96,39.2,0,0,45.08,3.92,0,0,0,11.76,0,7.84,0,0
