stage,epidermis,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
 24-34,1.64,28.73,0,0,0,0,0,0,0,1.64,0,0.82,7.39,0,0,0,0.82,0,1.64,0,0.82,0,0
 36-46,0,41.89,0.81,0.81,0.81,0,0,0,0,1.61,0,0,11.28,0,0,1.61,0.81,0,3.22,0,0.81,0,0
 48-58,0,34.43,0,0,0,0,0,0,0.57,1.72,0,0.57,7.46,0,0,1.15,0,0,0.57,0,0,0,0.57
 60-70,0,42.21,2.94,0,0,0,0,0,0.98,1.96,0.98,0,7.85,0,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,51.05,0.98,0,0.98,0.98,0,0,0,2.94,0,0.98,4.91,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,3.19,41.42,3.19,0,1.06,0,0,0,2.12,0,0,0,3.19,0,0,2.12,2.12,0,0,1.06,0,0,0
 96-106,0,20.76,5.46,1.09,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,1.53,32.17,3.06,0,0,0,0.77,0.77,0,0.77,0,0.77,1.53,0,0,0,0,0.77,0.77,0,0,0,0
120,5.88,29.4,5.88,1.96,0,0,0,0,0,3.92,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0
