stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.03,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,9.44,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,8,164,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,37,16,39,0,0,0,0,2,1,0,0,9,62,0,0,0,0,0
 24-34,0,0,0.82,64.85,0,0,4.93,0.82,4.93,1.64,1.64,0,0,3.28,0,0,0,2.46,0,0,69.77,0,0.82,34.48,45.15,68.95,0,0,0,0.82,6.57,0,0,0.82,0.82,91.12,0,0,1.64,0,0
 36-46,0,0,0,10.47,0,0,8.86,1.61,2.42,4.03,1.61,0,0,6.45,0.81,0,0,6.45,0,0,108.77,0,2.42,39.48,36.26,44.31,0.81,0,0,0,2.42,0,1.61,0.81,0,53.98,0,0,1.61,0,0.81
 48-58,0.57,0,0,4.59,0,0,10.9,2.3,4.02,8.03,5.74,0,0,2.87,0,0,0,2.87,0,0.57,181.9,0,1.72,45.33,44.76,24.1,0,0.57,0,0,0.57,0,0,0,0,65.41,0,0.57,0.57,0,1.15
 60-70,0,0,0,1.96,0,0,5.89,1.96,0,2.94,10.8,0.98,0,1.96,0.98,0,1.96,0.98,0,0,303.29,0,3.93,30.43,42.21,7.85,0,1.96,0,0.98,0.98,0,1.96,0,0,36.32,0,8.83,0,0.98,4.91
 72-82,0,0,0,0,1.96,0.98,22.58,0.98,1.96,13.74,20.61,1.96,0,4.91,0,0,4.91,0,0,0,422.11,0,8.83,45.16,24.54,8.83,0,2.94,0,0,0,0,2.94,0,0,46.14,0,9.82,1.96,4.91,0.98
 84-94,0,0,0,3.19,1.06,0,26.55,1.06,0,9.56,14.87,2.12,0,3.19,2.12,0,16.99,3.19,0,2.12,302.68,0,6.37,25.49,26.55,7.43,1.06,2.12,0,1.06,0,0,2.12,1.06,0,45.67,0,2.12,1.06,4.25,2.12
 96-106,0,0,0,4.37,0,0,24.04,0,2.19,6.56,14.21,0,0,3.28,1.09,0,18.58,2.19,1.09,0,325.67,1.09,9.84,18.58,33.88,4.37,0,8.74,0,4.37,0,0,4.37,0,0,55.74,1.09,6.56,0,14.21,0
108-118,0,0,0,3.06,0,0.77,12.26,1.53,0.77,4.6,15.32,3.06,0,0.77,0,0.77,33.7,0,0,1.53,260.43,0,3.06,15.32,29.87,4.6,0,8.43,0,2.3,0,0,3.06,2.3,0,28.34,0.77,4.6,1.53,9.19,3.83
120,0,0,0,5.88,0,0,15.68,0,0,1.96,9.8,3.92,0,3.92,0,0,13.72,0,1.96,0,199.9,0,3.92,15.68,23.52,3.92,0,15.68,0,1.96,1.96,0,0,0,0,23.52,1.96,5.88,1.96,7.84,0
