stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0
 24-34,0.82,1.64,0,0,0,0,0,0,0,0.82,9.03,0.82,1.64,0,0.82,0,4.1,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0,0,0.81,0,1.61,0
 48-58,0.57,2.3,0,0,0.57,0.57,0,0,0.57,0.57,6.31,0.57,1.72,0,0,0,0,0.57
 60-70,0.98,2.94,0,0.98,0,0.98,0,0,1.96,0,4.91,0.98,1.96,0,0,0,0.98,0
 72-82,0,8.83,0.98,0,0,0,0.98,0,1.96,0,15.71,0,1.96,0,0,0,1.96,0.98
 84-94,0,1.06,0,0,0,1.06,0,1.06,2.12,0,5.31,1.06,2.12,1.06,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,4.37,0,2.19,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0.77,0,1.53,1.53,0.77,0,0.77,0.77,0,0
120,1.96,0,0,0,0,0,0,0,9.8,0,5.88,7.84,5.88,0,0,0,0,0
