stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,4,2,0,0,2,0,0,0,0,0,0,1,4,0,0,6,85,0,1,0,2,0,3,1,5,16,0,0,1,0
 24-34,0,0,0,4.1,0,9.85,0.82,0,0.82,0,0.82,0,0,0,0,0,11.49,0,0,1.64,125.59,0.82,0.82,0,0,0.82,0,0,1.64,20.52,0,0,2.46,0
 36-46,0,0,0,0,0,36.26,0,0.81,4.83,0,0,0,0,0,0,0,8.86,0,0,1.61,121.66,0.81,1.61,0.81,0,0,0,0,0,33.03,0,0,0,0
 48-58,0,0,0,0.57,0,22.95,0,0.57,4.02,0,0,0,0,0,0,0,13.2,0,0.57,3.44,64.84,0,0.57,0.57,0,0.57,0,0,0,18.36,0,0,2.87,0
 60-70,0,0,0.98,0.98,0,74.6,0,0,9.82,0,0,0,0,0.98,0,0,20.61,0,0,2.94,79.5,0.98,0,0.98,0,0.98,0,0.98,0,13.74,0,0,1.96,0
 72-82,0,0,0.98,1.96,1.96,63.81,0,0,10.8,0,0,0.98,0,0,0,0,22.58,0,0.98,0.98,84.42,0,0,0,0,2.94,0,0,0,2.94,0.98,0.98,1.96,0.98
 84-94,0,0,0,6.37,0,25.49,0,1.06,9.56,1.06,0,0,0,0,0,1.06,9.56,0,0,2.12,27.61,0,0,0,0,1.06,0,0,0,3.19,1.06,0,2.12,0
 96-106,0,0,0,1.09,1.09,21.86,1.09,0,6.56,0,1.09,0,0,0,0,1.09,13.11,1.09,0,3.28,15.3,0,0,0,0,0,0,0,0,0,0,0,3.28,0
108-118,0,0,0.77,0.77,1.53,16.85,0,0,6.13,0.77,0,0.77,0,0.77,0,0,7.66,0,0.77,2.3,14.55,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,3.92,0,0,3.92,1.96,0,0,1.96,0,1.96,0,9.8,0,0,0,21.56,0,0,0,0,0,0,0,0,1.96,0,0,0,0
