stage,axial,blastomeres,endocrine_pancreas,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,3768.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0
  5-6,91.94,576.19,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,0,0,0,1.64,0,0,0,0.82,2.46,0.82,2.46,0,0,0,0,0.82,3.28,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,6.89,0,0.57,0.57,0,0,0,0,0,1.72,0,3.44,0,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0.98,0,0,0,3.93,0,4.91,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,3.93,0,0,0,0,0,0,4.91,0,2.94,0,3.93,0,0.98,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,6.37,1.06,0,1.06,0,1.06,0,14.87,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,2.19,0,0,2.19,0,0,0,27.32,0,3.28,0,3.28,0,1.09,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,3.06,0,0,1.53,0,0,0,29.87,0,1.53,0,2.3,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,0,3.92,0,0,1.96,1.96,0,0,23.52,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
