stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,97,5,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,5,56,0,0,2,0,0,1,0,1,0,0,4,1,0,0,14,0,0
 24-34,0,0,0,5.75,0.82,0,1.64,0,0,0,0,0,0,0.82,9.85,41.04,0,0,0,0,3.28,16.42,0,0.82,29.55,0.82,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,19.7,0,0
 36-46,0,0,0,6.45,1.61,0,2.42,0,0,0,0.81,0,0,0,9.67,41.89,0,0,0,0,5.64,8.86,0.81,1.61,58.01,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,40.28,0,0
 48-58,0,0,0,6.89,0.57,0,7.46,0.57,0.57,0,1.15,0,0,0.57,16.64,24.67,0,0,0,0,16.07,12.62,0.57,2.87,83.78,0,1.15,0,0,0,1.15,0,0,0,0,0,7.46,0,0.57,64.84,0.57,0
 60-70,0.98,0,0,17.67,0,0,12.76,0,1.96,0.98,4.91,0,0.98,3.93,28.46,41.22,0,0,0.98,0,90.3,8.83,1.96,3.93,140.36,0,0,1.96,0,4.91,0.98,0,0,0.98,0,0,9.82,0,0,70.67,1.96,0
 72-82,0,0,0,17.67,2.94,0,40.25,0.98,0,4.91,17.67,2.94,0.98,3.93,59.88,91.29,0,0.98,0,0.98,176.7,10.8,8.83,2.94,230.69,0,0,1.96,0,4.91,1.96,0,0,0.98,0,0,15.71,0.98,2.94,115.84,6.87,0
 84-94,0,0,0,49.92,4.25,0,45.67,0,0,1.06,13.81,2.12,0,4.25,84.96,163.55,2.12,3.19,1.06,2.12,158.24,18.05,6.37,2.12,151.87,0,5.31,2.12,0,11.68,3.19,0,0,11.68,0,0,3.19,2.12,5.31,135.94,6.37,0
 96-106,0,0,3.28,119.12,9.84,1.09,74.31,0,4.37,7.65,22.95,8.74,0,12.02,116.93,234.96,3.28,8.74,0,0,283.05,28.41,13.11,10.93,213.11,0,5.46,6.56,0,30.6,13.11,1.09,0,18.58,0,0,7.65,4.37,6.56,207.64,12.02,1.09
108-118,0.77,0,0,121.79,3.06,3.06,60.51,0,3.83,6.13,13.79,5.36,0,3.06,85.79,242.04,1.53,6.13,2.3,0,340.09,25.28,12.26,9.19,279.58,0.77,3.06,3.83,0,36.77,7.66,0,0,15.32,1.53,0,3.83,9.19,2.3,148.6,8.43,0.77
120,0,0,0,101.91,5.88,0,37.24,0,3.92,1.96,13.72,3.92,0,1.96,92.11,121.51,1.96,0,3.92,0,268.49,5.88,13.72,11.76,313.57,0,1.96,3.92,0,43.12,3.92,0,0,15.68,0,0,3.92,0,0,158.74,3.92,0
