stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,138,0,0,0,0,0,0,1,0,82,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,9.03,0,0,0,8.21,0,0,0,0,0,0,0,0,3.28,0,0,854.51,0.82,1.64,0.82,0,0,0,0,0,351.33,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,41.09,0,0.81,0.81,29,0,0.81,0,0,0,0,0,0,7.25,0,4.03,1098.93,0,4.83,0,0,0,0,0,0,405.25,0,0,0,0,0
 48-58,0,0,1.15,0,1.72,0.57,0,157.22,0.57,0,0,93.53,0,0,0,0,1.15,0,0,0.57,17.79,0,2.87,1351.31,1.15,2.3,0,0,0,0,0,0,362.64,0,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,0,380.83,0,1.96,0,118.76,0,0,0,0,0,0.98,0,0.98,20.61,0.98,0,1438.91,0,2.94,0,0,0,0.98,0,0,274.83,0,1.96,0.98,0,0.98
 72-82,0,0,0.98,0,6.87,0.98,0.98,782.38,0.98,0.98,1.96,193.39,1.96,0.98,0,0,1.96,0.98,0,0.98,33.38,1.96,1.96,2248.99,0,3.93,1.96,0,0.98,0.98,0,0,195.35,0,2.94,2.94,0.98,0
 84-94,0,0,0,0,12.74,1.06,0,423.75,0,1.06,0,110.45,0,0,1.06,0,2.12,1.06,1.06,0,25.49,4.25,0,1125.76,0,2.12,1.06,0,0,1.06,0,0,98.77,0,0,1.06,2.12,0
 96-106,0,0,0,0,10.93,2.19,1.09,342.06,0,0,2.19,102.73,0,0,0,1.09,0,2.19,0,1.09,25.14,0,0,948.59,0,8.74,5.46,0,1.09,1.09,0,0,52.46,1.09,3.28,0,3.28,0
108-118,0,0,0,0,10.72,1.53,0.77,275.75,0,0,0,91.92,0,0.77,0,0,0,0.77,0,0,16.09,2.3,2.3,1049.37,0,4.6,0,0,0,1.53,0,0.77,43.66,1.53,0,1.53,0,0
120,0,0,0,0,11.76,0,0,156.78,1.96,0,1.96,76.43,0,0,1.96,0,0,0,1.96,0,13.72,0,0,879.94,0,1.96,0,0,0,3.92,1.96,0,35.28,0,3.92,0,0,0
