stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,15,3,0,140,0,0,0,23,1,0,0,0,6,0,0,66,48,0,16,459,14,0,0,3,2,3,1,1,1,5,170,0,0,0,0,66
 24-34,0,0,0,0.82,4.1,0,0,229.84,0,0.82,0,8.21,0,0,1.64,1.64,32.83,0,2.46,158.43,142.01,0,13.13,412.89,2.46,1.64,0.82,0,6.57,0,0,0,0.82,2.46,139.55,0,0,0.82,0,211.78
 36-46,0,0,0,0,1.61,0,0,138.58,0,0,0.81,12.89,0.81,0,0.81,0,44.31,0,0,140.99,104.74,0,4.83,209.47,2.42,0,0,0,0,0,0,0.81,0,0.81,83.79,0,0,2.42,0,169.19
 48-58,0,0,0,0,0,0,0,146.32,0,0,5.74,16.64,0,0,1.72,0.57,63.69,0,0,103.86,92.96,0.57,4.59,119.93,2.3,0.57,0,0,1.15,0,0,0,0,0,35,0,0.57,1.15,0.57,171.57
 60-70,0,0,0,0,0.98,0,0,176.67,0,0,4.91,9.82,0,0.98,1.96,0,107.97,0,0,72.63,54.97,0.98,2.94,207.1,0,0,0,0,1.96,0,0,0,0,0,10.8,0,0,0,0,200.23
 72-82,0,0,0.98,0,1.96,2.94,0,179.64,0,0,6.87,13.74,0,0,1.96,0,110.93,0,1.96,67.73,59.88,0,4.91,214,0,1.96,0,0,1.96,0,0,0,0,0,4.91,0,0,0,0,158.05
 84-94,0,0,1.06,0,6.37,2.12,0,275.07,0,0,10.62,10.62,0,0,6.37,0,146.56,0,2.12,114.7,53.1,1.06,2.12,107.27,0,0,1.06,0,5.31,0,0,0,1.06,0,3.19,0,2.12,4.25,0,127.44
 96-106,0,0,0,0,1.09,1.09,1.09,219.66,0,0,7.65,7.65,1.09,0,5.46,1.09,131.14,2.19,2.19,75.41,29.51,1.09,3.28,113.66,2.19,0,1.09,0,3.28,0,0,0,0,0,2.19,1.09,0,1.09,1.09,169.39
108-118,0,0,1.53,0,1.53,2.3,0.77,211.41,0,0,9.19,8.43,0,0,1.53,0,140.94,0,2.3,105.7,29.87,0,1.53,101.11,2.3,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,1.53,1.53,0,137.87
120,0,0,0,0,3.92,0,0,88.19,1.96,1.96,1.96,1.96,3.92,0,1.96,0,92.11,0,0,45.08,21.56,0,0,101.91,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,50.95
