stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,13.14,0,0,7.89,0,0,0,0,0,70.98,0,0,49.95,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0,0,47.2,3.15,0,18.88,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,3,2,0,0,0,0,0,0,1,0,1,32,0,0,0,0,0,4,0,4,10,0,0,0
 24-34,0,0,0.82,0,2.46,0,9.03,0,0.82,0,0,0,4.1,0,0.82,44.33,0,0,0,1.64,0,0,0,0,15.6,0,0,0.82
 36-46,0,0,0,0,0,0,16.11,0,4.03,0,0,0,3.22,0,2.42,58.01,0,0,0,0,0,0,0,0,11.28,0,0,1.61
 48-58,0,0,0,0,0.57,0,24.1,0,2.3,0,0.57,0,5.74,0,1.15,45.9,0,0,0,0,0,0,0,0,8.61,0,0,0
 60-70,0,0,0,0,0,0,21.59,0,1.96,0,0,0,5.89,0.98,0.98,53.98,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0,0,0.98,17.67,0,1.96,0,0,0.98,7.85,0,0.98,25.52,0,0,0,0,0,0,0,0,2.94,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,0,6.37,1.06,4.25,0,0,0,6.37,1.06,0,20.18,0,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,3.28,0,2.19,0,0,0,5.46,0,1.09,7.65,0,0,0,0,0,0,0,0,2.19,0,0,1.09
108-118,0,0,0,0,0.77,0.77,3.06,0,1.53,0,0,0,0.77,0,0.77,16.09,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,9.8,0,0,0,0,0,1.96,0,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,0
