stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,2,16,6,0,18,0,0,0,4,2,0,1,0,1,0,0,0,0,8,0,0,7,168,2,1,1,2,0,4,0,11,0,1,22,50,0,0,0,0,0
 24-34,0.82,1.64,9.03,1.64,0,41.04,0,0,1.64,2.46,2.46,0,0.82,0,0,0,1.64,0,0,18.06,2.46,0,6.57,386.62,4.93,0.82,3.28,0,0,8.21,0,0,0.82,0.82,1.64,88.65,0,0,4.93,0,0
 36-46,0,0,6.45,0.81,0,111.18,0,0,1.61,12.09,0,0,0.81,0,0.81,0,1.61,0,0,26.59,1.61,1.61,7.25,361.75,2.42,2.42,1.61,0,0,8.06,0,0,0,0,0,107.15,0,0,2.42,0,0.81
 48-58,0,0,7.46,1.15,0,185.34,0,0.57,0.57,24.1,0.57,0.57,0,0.57,0.57,0,1.72,0.57,0,25.25,2.3,0.57,6.89,316.17,1.72,4.02,1.72,0,0,9.75,0,0,1.15,0.57,0,77.46,0,0,4.59,0,0
 60-70,0,0,1.96,0,0,217.9,0,1.96,2.94,20.61,0.98,0,0,0,1.96,0.98,0,0.98,0,32.39,1.96,0,5.89,313.11,1.96,2.94,2.94,0,0,12.76,0,0,0,0,0,67.73,0,0,3.93,0,0.98
 72-82,0.98,0,14.72,10.8,1.96,202.22,0.98,2.94,1.96,22.58,7.85,0,0,4.91,2.94,0,1.96,0.98,0,66.75,8.83,0,5.89,279.77,2.94,5.89,4.91,0,1.96,23.56,0.98,0,0.98,0,0,33.38,3.93,1.96,8.83,0.98,0
 84-94,2.12,0,16.99,2.12,0,114.7,0,1.06,5.31,15.93,8.5,2.12,1.06,6.37,4.25,3.19,1.06,0,1.06,26.55,5.31,2.12,7.43,143.38,3.19,3.19,6.37,0,1.06,36.11,0,0,0,1.06,0,18.05,2.12,2.12,4.25,1.06,1.06
 96-106,4.37,0,28.41,4.37,0,75.41,1.09,1.09,2.19,21.86,16.39,1.09,1.09,1.09,7.65,3.28,1.09,0,0,44.81,4.37,1.09,7.65,109.28,1.09,6.56,3.28,1.09,0,80.87,0,0,1.09,0,0,7.65,4.37,0,7.65,3.28,0
108-118,0,0,26.81,3.06,0.77,71.23,0,1.53,0,13.02,3.06,0,3.06,4.6,3.83,3.06,3.06,1.53,1.53,29.87,1.53,0,1.53,108.77,1.53,6.13,7.66,0,0.77,44.43,0,0,0.77,0.77,0,3.06,4.6,0.77,4.6,0,0.77
120,0,0,15.68,0,1.96,47.03,0,5.88,0,9.8,3.92,0,1.96,0,3.92,0,1.96,0,0,29.4,0,1.96,3.92,133.27,0,3.92,1.96,0,0,19.6,0,0,0,0,0,1.96,1.96,0,5.88,0,0
