stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,1,0,31,0,0,0
 24-34,0,0,0,1.64,2.46,0,0,0,0,0.82,0.82,0,0,0,0,0,0,229.84,0,1.64,0,0,0,0,0,79.62,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0,0,672.73,0,3.22,0,0,0.81,0,0.81,136.16,0,0.81,0
 48-58,0,0,0.57,0.57,16.07,0,0,4.59,0,0,0,0,0,0,4.02,0,0,655.29,0,1.72,0,0,0,0,0,98.12,0,0.57,0
 60-70,0,0,0,0.98,38.28,0,0,2.94,0,0,0,0,0,0,3.93,0.98,0,830.37,0,1.96,0,0,0,0,0,117.78,0,0,0
 72-82,0,0,0,1.96,43.19,0,0.98,5.89,0,0,0,0,0,0,8.83,0.98,0.98,582.13,0,0,0,0,0,0,0,56.94,0,0.98,0
 84-94,0,0,0,0,21.24,1.06,1.06,6.37,0,0,1.06,0,2.12,1.06,1.06,0,0,246.39,0,3.19,1.06,0,3.19,0,0,32.92,0,1.06,0
 96-106,0,0,0,1.09,26.23,0,0,2.19,1.09,0,1.09,0,0,0,4.37,0,0,205.46,0,2.19,0,0,0,0,0,8.74,0,1.09,1.09
108-118,0,0,0,1.53,23.74,0,0,6.89,0,0,0.77,0.77,0.77,0,0.77,0,0,206.81,0,0,0.77,0,0.77,0,0,6.89,0.77,0.77,0
120,0,0,0,1.96,21.56,0,0,11.76,1.96,0,0,0,0,0,1.96,0,0,215.58,0,1.96,0,0,0,0,0,5.88,0,0,0
