stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,42.91,864.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0
  7-9,18.4,13.14,0,10.51,0,0,42.06,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,320.7,13.14,0,0,128.81,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,34.62,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,191.97,0,0,0,81.82,0,0,0,18.88,3.15,0,0,0,0,0
 14-21,0,0,0,0,14,2,11,0,0,0,3,1,0,0,0,0,0,0,0,3,7,0,0,8,86,1,0,1,3,0,0,13,4,11,30,0,1,0,2
 24-34,0,0,0,0,1.64,0,9.03,0,0,0,3.28,0,0,0.82,0,0,0,0.82,0.82,0,13.13,0,0,9.03,130.52,2.46,0,4.1,0,0,1.64,0,0,0.82,34.48,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,22.56,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,15.31,0,0,3.22,102.32,0,0,0.81,0,0,0.81,0,0,0,20.14,0,0,0,0
 48-58,0,0,0.57,0,0,0,25.25,0,0,0,12.05,0,0,0,0.57,0,0,0.57,0,0.57,13.77,0,1.15,2.87,56.81,0,0,0,0,0,0,0,0,0,9.75,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,33.37,0,0.98,1.96,7.85,0,0,0,0,0,0,0,0,0,22.58,0,0,1.96,41.22,0,1.96,0,0,0,0.98,0,0,0,3.93,0,1.96,0,0
 72-82,0,0,0,0,0,0,30.43,0,0,0,8.83,0,0,0.98,0,0,0.98,0.98,0,0,25.52,1.96,0,2.94,51.05,0,0.98,0.98,0,1.96,0.98,0,0,0,4.91,0.98,2.94,0,0.98
 84-94,0,0,0,0,2.12,0,12.74,0,0,0,4.25,1.06,0,1.06,1.06,0,1.06,1.06,1.06,0,14.87,0,0,2.12,14.87,1.06,0,2.12,0,0,1.06,0,0,0,2.12,0,0,0,0
 96-106,0,0,1.09,0,0,0,13.11,1.09,2.19,0,9.84,2.19,0,0,0,0,1.09,0,0,0,21.86,0,2.19,1.09,15.3,1.09,2.19,0,0,0,2.19,0,0,0,2.19,0,3.28,0,0
108-118,0,0,0.77,0,2.3,0,8.43,0,0,0.77,7.66,1.53,0,0,1.53,0.77,0.77,0,0,0,13.79,0,0.77,0.77,16.85,0,0.77,0.77,0,0,0,0,0,0,1.53,0.77,1.53,0.77,0
120,0,0,0,0,0,0,5.88,0,0,0,3.92,1.96,0,0,1.96,1.96,0,1.96,0,0,13.72,1.96,1.96,0,29.4,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
