stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,44.06,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,6,7,2,3,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,3,133,11,0,1,2,0,12,78,0,0,7,23,0,0,0,0,0
 24-34,0,0,0,8.21,0,18.06,0,0,0.82,4.93,0.82,0,0,0,0.82,0,0,0.82,0.82,4.1,0.82,0,0.82,443.26,0.82,4.93,0,0,0,11.49,0,0,0.82,2.46,86.19,0,0,0,0,0
 36-46,0,0,0,0,0,15.31,0,1.61,0,12.09,0,0,0,0,0,0,0,0,0,4.03,1.61,0,0.81,583.3,0,6.45,1.61,0,0,1.61,0,0,0,0,87.82,0,0,0,0,0
 48-58,0,0,0,2.87,0,84.92,0,2.87,0,29.26,0,0,0,0,0,0,1.72,0.57,0.57,14.35,1.72,0,1.15,892.27,0,8.03,0.57,0,0,1.15,0,0.57,0.57,0,52.79,0,0,0,0,0
 60-70,0,0,0,1.96,0,232.62,0,0.98,0,53.98,0,0,0,1.96,0,0,0,0,0,22.58,0.98,1.96,1.96,1397.69,0,8.83,0.98,0,0,3.93,0,0,0,0,55.95,0,1.96,0,0,2.94
 72-82,0,0,0,6.87,0.98,345.54,0,1.96,0.98,92.28,0.98,0,0,0,0,0,0.98,0,0,26.5,3.93,0.98,4.91,1468.57,0,9.82,3.93,0,0.98,6.87,0,0,0,0,40.25,1.96,0.98,0,0.98,1.96
 84-94,0,1.06,0,10.62,1.06,230.46,1.06,2.12,2.12,49.92,0,0,0,2.12,0,2.12,0,1.06,1.06,20.18,3.19,4.25,1.06,734.93,0,18.05,3.19,0,0,16.99,0,1.06,0,0,35.05,9.56,3.19,0,1.06,0
 96-106,0,1.09,0,13.11,3.28,189.06,0,4.37,1.09,55.74,2.19,0,0,0,0,1.09,4.37,3.28,0,32.79,3.28,0,0,643.69,0,12.02,6.56,0,0,16.39,0,0,0,0,14.21,6.56,1.09,2.19,0,3.28
108-118,0,0,0,8.43,0.77,140.94,0,5.36,3.06,42.13,1.53,0,0.77,0,1.53,0,0,0,0,15.32,1.53,1.53,3.06,706.22,0.77,12.26,4.6,0,0,12.26,0,1.53,0,0,10.72,7.66,0,1.53,3.06,1.53
120,0,0,0,15.68,1.96,176.38,0,1.96,0,76.43,0,0,0,0,1.96,0,0,0,0,35.28,0,0,7.84,897.58,0,7.84,1.96,0,1.96,11.76,0,1.96,0,0,15.68,3.92,0,0,0,0
