stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,gut,immune,ionocyte,liver,mesenchyme,neural,periderm,vasculature
 14-21,0,0,0,0,0,0,4,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,30.37,0,0,0,0,0,0.82
 36-46,0,0.81,0,0,0,0,37.06,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,32.71,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,65.76,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,74.61,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,0,0,105.14,0,0,0,3.19,0,1.06
 96-106,0,1.09,1.09,0,0,0,139.88,1.09,0,3.28,0,1.09,0
108-118,0,0.77,1.53,0,0,0.77,108,0,0,1.53,2.3,0,0.77
120,1.96,0,1.96,0,0,0,199.9,0,0,3.92,0,0,0
