stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pgc,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57,1.15,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0.98,1.96,0,0,0,0,0,0,0,0
 72-82,5.89,0,0,1.96,0,0,4.91,0,0.98,0,0,18.65,0,0,0,0,0,0,0,0
 84-94,1.06,0,0,1.06,0,0,1.06,0,0,0,0,16.99,0,0,0,0,0,0,0,0
 96-106,5.46,2.19,1.09,1.09,0,1.09,13.11,2.19,2.19,1.09,0,15.3,0,1.09,2.19,0,0,1.09,1.09,1.09
108-118,2.3,0.77,0,0.77,0.77,0.77,17.62,0,3.06,0,0,12.26,0,0,0,0,0,0,0,0
120,3.92,1.96,0,0,0,0,17.64,0,0,0,1.96,33.32,0,0,0,0,0,0,0,0
