stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,4,0,0,0,0,0,1,0,3,7,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,5.75,0,0,0.82,0,0,0.82,0,0,0.82,0,8.21,0,0,3.28,55.82,0,0.82,0,0,0,1.64,0.82,0.82,0,13.13,0,0,0.82,0,0
 36-46,0,0,0,0,0,12.89,0,0,0.81,0,0,0,0,0,0,0,5.64,0.81,0,0.81,64.45,0,0.81,0.81,0,0,4.83,1.61,0,0,16.92,0,0,0,0,0
 48-58,0,0,0,0.57,0,14.35,0,1.15,3.44,0,0,0.57,0,0,0.57,0,5.74,0,0.57,1.15,42.46,0,0.57,0.57,0,0,1.72,0.57,0,0,14.35,0,0,0.57,0.57,0
 60-70,0,0,0,1.96,0,22.58,0,0,4.91,0,0,0,0,0,0.98,0,10.8,0,0,1.96,59.87,0,0,0,0,1.96,0.98,0,0,0,8.83,0,0,0,0,0
 72-82,0,0,0,3.93,2.94,33.38,0,0,8.83,0.98,0,0,0,0,0,0,33.38,0,0,3.93,69.7,0,0,0,0,0,0.98,0,0,0,9.82,0,0.98,0,0.98,0.98
 84-94,0,0,0,7.43,3.19,18.05,1.06,0,6.37,1.06,1.06,1.06,0,1.06,1.06,0,4.25,0,1.06,4.25,26.55,0,0,0,0,0,3.19,1.06,0,0,2.12,0,0,2.12,0,0
 96-106,0,0,0,1.09,1.09,25.14,1.09,1.09,2.19,0,1.09,1.09,1.09,0,1.09,1.09,13.11,0,2.19,3.28,28.41,0,1.09,2.19,0,0,2.19,3.28,0,0,1.09,0,0,1.09,1.09,1.09
108-118,0,0,1.53,5.36,0,13.79,0.77,0.77,8.43,0,0,1.53,0,0.77,0,0,9.96,0,0.77,3.83,23.74,0,1.53,2.3,0,1.53,3.06,0.77,0,0,1.53,0.77,0,1.53,1.53,1.53
120,0,0,0,7.84,3.92,11.76,3.92,0,0,1.96,0,0,0,0,1.96,0,11.76,0,1.96,0,48.99,1.96,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0
