stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,1,13,0,0,0,0,0,0,0,3,0,4,19,0,0,0,0,0
 24-34,0,0,0.82,0,0,3.28,0,0,1.64,0,0,0,0,0,2.46,0,0,1.64,0,0,0.82,115.74,0,6.57,0,0,0,0,0,0,0.82,0,43.51,0,0,0.82,0,0
 36-46,0,0,2.42,0,0,4.03,0,0,0.81,0,0,0,0,0,0.81,0,0,2.42,0,0,0.81,292.46,0.81,7.25,0,0,0,0.81,0.81,0,0,0,84.6,0,0,0,0,0
 48-58,0,0.57,1.15,0,0,47.05,0,1.15,5.16,0,0,0,0,0,5.16,0,0,6.31,0,0,0.57,390.76,0,5.16,1.15,0,0,0,0,0,0,0,76.32,0,0,1.15,0,0.57
 60-70,0,1.96,0,0.98,0,298.38,0,0,12.76,0,0,0,0,0.98,2.94,0,0,15.7,0.98,0,0,791.11,0,4.91,0,0,0,1.96,0,0,0,0,97.17,0,0.98,2.94,0,0.98
 72-82,0,2.94,5.89,1.96,0,529.12,0.98,3.93,41.23,0.98,0.98,0,0,0,11.78,0,0,30.43,0,0.98,1.96,843.25,0,11.78,1.96,0,0,1.96,0,0,0.98,0,70.68,0.98,0.98,1.96,0,0.98
 84-94,0,2.12,10.62,0,0,288.87,0,0,42.48,1.06,0,1.06,0,0,4.25,1.06,0,16.99,0,0,0,435.44,0,3.19,4.25,0,0,1.06,0,0,3.19,0,32.92,2.12,0,3.19,0,0
 96-106,0,1.09,3.28,0,0,252.45,0,0,45.9,3.28,1.09,2.19,1.09,1.09,19.67,0,0,16.39,1.09,1.09,3.28,328.95,1.09,9.84,7.65,0,0,5.46,0,0,0,0,21.86,0,0,2.19,1.09,0
108-118,0,0.77,6.89,1.53,0.77,206.04,0,0,39.06,0,0,1.53,0,1.53,8.43,0,0.77,9.19,0.77,0,1.53,353.11,0.77,7.66,11.49,0,0.77,3.06,0,0,0.77,0,7.66,0,0,0.77,0,0
120,0,0,17.64,0,0,127.39,0,0,21.56,1.96,1.96,1.96,0,0,7.84,0,0,15.68,0,1.96,1.96,446.83,0,7.84,5.88,0,0,1.96,0,0,1.96,0,17.64,0,0,1.96,1.96,0
