stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.18,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,9.44,18.88,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,70,62,185,0,2,0,0,0,1,48,0,1,0,92,0,0,17,0,7,11,0,3,24,0,1,0,1,127,1,2,70,0,3,9,0,0,3,0
 24-34,0,0,7.39,44.33,15.6,197.01,0,4.1,0,0.82,0,2.46,15.6,0,1.64,0,170.74,0,0,18.88,0.82,5.75,34.48,0,4.93,99.32,0.82,9.03,0,0,288.12,0,0,76.34,0,1.64,20.52,0,0,1.64,0
 36-46,0,0,0.81,4.03,10.47,17.72,0,6.45,0,3.22,0,3.22,7.25,0,0.81,0,79.76,0,0.81,9.67,0,8.06,17.72,0,0,106.35,0,6.45,0.81,0,185.3,0,0,49.95,0,0,15.31,0,0,1.61,0
 48-58,0,0,0.57,0.57,9.75,15.49,0,12.62,0.57,2.3,0.57,6.31,4.02,0,0,0,39.02,0,0.57,4.02,0,4.59,13.2,0,0.57,72.3,0,3.44,0.57,0,104.43,0,0,36.72,0.57,0,14.35,0,0,0.57,1.72
 60-70,0,0,2.94,0,14.72,6.87,0,19.63,0,2.94,0,8.83,13.74,0,0,0,42.21,0,1.96,4.91,0,5.89,9.82,0,0.98,62.82,0,0.98,0.98,0,80.48,0,0,37.3,0,0,12.76,2.94,0.98,0.98,0
 72-82,0,0,12.76,0,8.83,31.41,11.78,22.58,0,1.96,0,10.8,59.88,0,0,1.96,98.17,0,3.93,4.91,0,20.61,9.82,0,0.98,92.28,0,1.96,0.98,0,36.32,0,0,61.84,0,0,4.91,3.93,1.96,0,0
 84-94,0,0,18.05,0,29.74,29.74,20.18,13.81,1.06,6.37,0,12.74,93.46,0,0,1.06,151.87,0,2.12,16.99,0,5.31,10.62,0,1.06,57.35,0,1.06,2.12,0,109.39,1.06,0,156.12,0,0,6.37,6.37,0,0,1.06
 96-106,0,0,22.95,5.46,50.27,27.32,12.02,21.86,0,2.19,0,7.65,159.56,0,0,1.09,203.27,0,4.37,5.46,0,12.02,19.67,0,2.19,72.13,0,6.56,1.09,0,46.99,1.09,0,162.83,0,0,0,14.21,0,1.09,0
108-118,0,0,14.55,3.83,40.6,18.38,21.45,6.89,0,0.77,0,9.19,170.04,0,0,0.77,173.11,2.3,3.83,23.74,0,11.49,13.79,1.53,0,72,0.77,6.13,3.06,0,34.47,0,0,148.6,0,0,1.53,12.26,0.77,3.06,0.77
120,0,0,11.76,0,45.08,13.72,5.88,11.76,0,1.96,0,7.84,125.43,0,1.96,0,90.15,0,9.8,21.56,0,9.8,1.96,0,0,60.75,1.96,1.96,0,0,27.44,1.96,0,97.99,0,0,9.8,9.8,0,0,0
