stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,18.88,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,9.03,0,0,0,2.46,0,0.82,0.82,2.46,0,0,0.82
 36-46,0,41.09,1.61,0,3.22,0,0.81,0.81,0,0,0,0.81,0,1.61,0,0,12.09,0,0,0,4.03,0,0,0,2.42,0,0,0.81
 48-58,0,51.07,0,0,6.31,0,2.87,0,0,0,0,0,0,1.72,0,0,8.03,0.57,0,0,3.44,0,0,0,1.15,0,0,0.57
 60-70,0,69.69,0,0,7.85,0.98,8.83,1.96,0,0,0,0,0.98,1.96,1.96,0,16.69,0,0.98,0,3.93,0,0,0,1.96,0,0,0
 72-82,0,103.07,0,0,6.87,0,5.89,0,0.98,0,0,0,0,3.93,3.93,0,13.74,0,0,0,0.98,0.98,0,0,1.96,0,0.98,0
 84-94,0,193.29,0,1.06,1.06,0,16.99,2.12,1.06,0,1.06,0,0,3.19,4.25,0,5.31,0,1.06,0,8.5,1.06,0,0,1.06,0,0,0
 96-106,0,230.59,1.09,0,1.09,0,13.11,1.09,1.09,1.09,0,0,1.09,2.19,2.19,0,7.65,0,0,0,5.46,0,0,0,0,0,1.09,1.09
108-118,0,329.36,0.77,1.53,3.06,0.77,39.06,0,2.3,0,2.3,0.77,0,4.6,1.53,2.3,5.36,0,0.77,0,11.49,2.3,0,0,0.77,0.77,0,0
120,0,213.62,1.96,0,0,0,37.24,0,3.92,0,1.96,0,0,5.88,3.92,0,11.76,0,0,0,1.96,1.96,0,0,0,0,0,0
