stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,13,0,0,0,3,1,10,3,0,0
 24-34,14.78,0,0,2.46,0.82,4.1,0,0.82,0,1.64,0,0.82,0,0,1.64,1.64,8.21,1.64,4.93,0,0,0,1.64,9.03,0,0
 36-46,5.64,0,0,0.81,0,1.61,0,0,0,0.81,0,0,0,0,0,7.25,6.45,1.61,2.42,0,0,0,0,2.42,0,0
 48-58,5.74,0.57,0,1.15,0.57,2.87,0,0,0.57,2.3,0,3.44,0,0.57,0,4.02,0.57,0,1.72,0,0,0,0,2.87,0,0
 60-70,14.72,0,0,6.87,0,2.94,0,0,0,1.96,0.98,4.91,0,0,0.98,4.91,0.98,0,4.91,0,0,0,0,2.94,0,0
 72-82,13.74,2.94,0,2.94,0,7.85,0,0.98,0,0,0,3.93,0.98,0,0,1.96,0,0.98,3.93,0,0,0,0,0.98,0,0.98
 84-94,15.93,0,0,2.12,0,3.19,1.06,1.06,0,2.12,0,3.19,0,0,0,2.12,2.12,0,5.31,1.06,0,0,0,1.06,1.06,0
 96-106,7.65,0,0,2.19,0,1.09,0,1.09,0,2.19,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,16.09,0,0,0,0,3.83,0,0,0.77,0.77,0,1.53,0,0,0,2.3,0,0,4.6,0,0,0,0,3.83,0,0
120,17.64,0,1.96,3.92,0,3.92,0,0,0,1.96,0,5.88,0,0,1.96,3.92,0,0,1.96,0,0,0,0,5.88,0,0
