stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,73.56,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,176,0,0,0,0,0,19,1,4,3,0,21,0,18,0,0,12,10,4,0,0,0,0,2,0,2,0,0,2,7,0,0,0,0
 24-34,0.82,0,0,0,13.13,0.82,0,3.28,0,0,0.82,0,13.95,0,0,34.48,0,29.55,0,0,7.39,26.27,0,0,0,0,0,1.64,0,0.82,0,0,0.82,15.6,0,0,0,0
 36-46,0,0,0,0,4.03,0,0,4.03,0,1.61,0,0,10.47,0,0,8.86,0.81,41.09,0,0,3.22,24.98,0,0.81,0,0,0.81,1.61,0,0,0,0,0,23.36,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,3.44,0.57,0,1.72,0,14.35,0,0,2.87,0,57.95,0,2.87,4.02,26.4,0,0,0,0,1.72,4.02,0,0,0,0,0,25.82,0.57,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,7.85,0,2.94,1.96,0,9.82,0,0,0.98,1.96,33.37,0,2.94,2.94,16.69,0,0,0,0,0,0.98,0,0,0,0,0,15.7,0,0,0,0
 72-82,0,0,2.94,0,0.98,0,1.96,19.63,0,4.91,7.85,0,3.93,0,0,2.94,0.98,63.81,0.98,8.83,1.96,6.87,0,0,0,0,0,0.98,0,0,0,0.98,0,6.87,0.98,0,0.98,0
 84-94,0,0,1.06,0,1.06,1.06,5.31,7.43,1.06,7.43,5.31,0,3.19,0,0,2.12,0,21.24,0,7.43,0,5.31,0,0,1.06,0,0,0,0,0,2.12,0,0,1.06,2.12,0,0,0
 96-106,0,0,4.37,0,0,0,5.46,16.39,1.09,1.09,40.44,0,5.46,0,1.09,5.46,2.19,16.39,0,8.74,6.56,13.11,0,1.09,2.19,0,1.09,0,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,16.85,12.26,0,3.06,45.19,0,3.06,0.77,0.77,2.3,0.77,18.38,0,10.72,3.06,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,3.92,0,1.96,0,7.84,13.72,0,3.92,141.1,0,0,1.96,0,0,0,11.76,0,9.8,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
