stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,4,0,0,0,3
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,17.24,0,0,0,0,0,0,0,0.82,0,4.93,0,0,0,24.63
 36-46,0,0,0.81,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0.81,17.72,0,0,0.81,0,0,0,0,0,0,11.28,0,0,0,82.18
 48-58,0,0,0,0,0,0,0,11.48,0.57,1.15,1.15,1.15,0,0,0,0,0,1.15,0.57,4.59,0,0,0.57,38.44,0,0,0.57,0,1.15,0,0,0.57,0,8.61,0,0.57,0,172.72
 60-70,0,0,0,0,0,0,0,20.61,0,3.93,4.91,3.93,0.98,0,0,0.98,0,6.87,0,6.87,0,0,0,97.17,0,0,0,0.98,0,0,0,0,0,8.83,0,0,0,137.41
 72-82,0,0,1.96,0,3.93,1.96,0,49.08,0,21.6,10.8,25.52,0,0,0.98,0,0,77.55,0.98,16.69,0.98,0,2.94,249.34,0,0,1.96,0,0,0.98,0,0.98,0,29.45,0.98,0,0,161.97
 84-94,0,0,0,0,3.19,4.25,0,43.54,0,10.62,9.56,65.85,1.06,0,1.06,2.12,0,288.87,0,13.81,0,1.06,1.06,128.51,0,0,0,0,3.19,0,0,0,0,9.56,1.06,0,0,81.78
 96-106,0,0,3.28,0,6.56,5.46,1.09,43.71,0,9.84,8.74,134.42,0,2.19,3.28,1.09,0,483.04,0,26.23,0,0,3.28,198.9,0,0,2.19,0,2.19,0,0,0,0,10.93,0,1.09,1.09,59.01
108-118,0,0,0,0.77,3.83,4.6,1.53,38.3,0,10.72,15.32,112.6,0,2.3,0,1.53,0.77,721.54,0.77,34.47,0,0.77,2.3,224.43,0.77,1.53,0,0,0.77,0,0,0.77,0,13.02,1.53,2.3,0,40.6
120,0,0,1.96,0,7.84,1.96,0,25.48,0,9.8,9.8,37.24,1.96,0,0,5.88,0,297.89,1.96,29.4,0,0,1.96,174.42,1.96,0,0,0,0,0,0,0,0,11.76,0,0,0,17.64
