stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,15.77,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,28.92,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,3.15,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,40.91,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,4,2,0,3,0,0,0,1,0,0,0,0,0,0,2,1,0,3,12,0,0,0,0,0,4,0,5,6,0,0,1
 24-34,0,0,0,0.82,0,0,11.49,0.82,0.82,0,0,0,0,0,0,0,0.82,0,2.46,0,2.46,100.97,0,0,0.82,0,0,0,0,3.28,13.13,0,1.64,2.46
 36-46,0,0,0,1.61,0.81,0,19.34,0,0,4.03,1.61,0,0.81,0,0,0,0,3.22,2.42,0,0,110.38,0,0.81,0,0,1.61,0,0,0,22.56,0,1.61,0.81
 48-58,0,0,0,0,0.57,0,53.36,0,0,11.48,1.15,0,0.57,0,0.57,0,0.57,2.3,4.02,0,2.87,106.15,0,0.57,0,0,0,0,0,0,16.64,0,0.57,5.16
 60-70,0,0,0,1.96,0,0,30.43,0,0,3.93,0,0,0,0.98,1.96,0.98,0.98,0.98,3.93,0,1.96,45.15,0.98,0.98,0,0,2.94,0,0,0,3.93,0.98,0,4.91
 72-82,0,0,0,1.96,1.96,0,16.69,0,1.96,2.94,0,0,0,0.98,0,0,0,0,4.91,0,0,34.36,0,0,0,0,2.94,0,0.98,0,1.96,0,0.98,5.89
 84-94,0,0,0,1.06,0,0,6.37,0,0,1.06,2.12,0,1.06,0,1.06,0,0,0,2.12,0,1.06,24.43,0,0,0,0,3.19,0,0,0,0,0,1.06,5.31
 96-106,0,0,0,0,2.19,0,10.93,0,1.09,3.28,2.19,0,3.28,1.09,1.09,0,0,0,3.28,1.09,0,13.11,0,0,0,0,3.28,0,0,0,0,0,1.09,6.56
108-118,0,0,0,3.06,1.53,0.77,13.02,0,0,2.3,1.53,0,2.3,0.77,0.77,0,0,0.77,2.3,0,0.77,18.38,0,0,0,0,2.3,0,0,0,0,0,0.77,4.6
120,0,0,0,3.92,5.88,0,13.72,1.96,0,1.96,0,0,11.76,0,0,0,0,0,1.96,0,1.96,15.68,0,1.96,0,0,3.92,0,0,0,0,0,0,3.92
