stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,13.14,0,0,0,2.63,0,0,0,0,78.86,2.63,0,0,28.92,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,44.06,0,3.15,12.59,0,0,0,0
 14-21,0,0,0,0,6,1,1,0,0,1,0,0,0,4,0,39,0,1,0,3,0,7,0,1,18,0,0
 24-34,0,0,0,0,1.64,0,6.57,0,0,0,0,0,0,2.46,1.64,37.76,0,0,0,0,0.82,0,0,0,6.57,0.82,0
 36-46,0,0,0,0,0,0,6.45,0,0,2.42,0,0,0,0.81,0.81,19.34,0,0,0.81,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,6.31,0.57,0.57,0.57,0,0,0,2.3,1.15,6.89,0,0,0,0,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,1.06,0,0,0,0,1.06,0,1.06,0,3.19,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,3.28,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77,3.06,1.53,2.3,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0
