stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,62.94,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,3.28,0,0,0,0,0,4.1,0,0,0,0,0,0,21.34,0,13.13,29.55,0.82,0,0.82,0,0,0,0,0,0.82,19.7,0,0,5.75,0,0
 36-46,0,0,0,0,1.61,0,0,8.86,0,0,0.81,2.42,0,0.81,0,0,0,0,0,0,51.56,0,17.72,18.53,1.61,0,0.81,0,0.81,1.61,0.81,0,0,15.31,0,0.81,4.03,0.81,0
 48-58,0,0,0,0,3.44,0.57,0,20.08,0,0,1.72,2.3,0,4.02,0.57,0,0,2.3,0,1.15,110.74,4.02,36.72,23.53,0,0,0,0,0,0,2.3,0.57,0,10.33,0,2.3,5.74,0.57,0
 60-70,0,0,0,0,3.93,0.98,0,11.78,0,0,2.94,0.98,0.98,4.91,6.87,0.98,0,1.96,1.96,0,245.38,9.82,22.58,15.7,0.98,0,0,0,10.8,1.96,0,0.98,0,6.87,0,29.45,8.83,15.7,0
 72-82,0,0,0,0,1.96,8.83,0,54.97,0.98,0,5.89,6.87,0.98,11.78,19.63,0.98,0,0.98,0.98,0,471.2,21.6,29.45,46.14,0,1.96,1.96,0,11.78,0.98,0.98,0,0,8.83,0,49.08,15.71,50.06,0.98
 84-94,0,0,0,0,3.19,3.19,2.12,38.23,0,0,6.37,3.19,1.06,8.5,12.74,1.06,0,1.06,5.31,0,291,25.49,16.99,5.31,0,0,3.19,0,8.5,3.19,7.43,0,0,4.25,1.06,47.79,12.74,60.54,0
 96-106,0,0,0,0,9.84,13.11,0,27.32,1.09,2.19,1.09,5.46,2.19,14.21,21.86,0,1.09,1.09,4.37,2.19,321.3,19.67,14.21,30.6,0,1.09,5.46,0,24.04,2.19,5.46,0,0,7.65,1.09,68.85,24.04,64.48,0
108-118,0.77,0,0,1.53,4.6,3.06,0.77,17.62,0.77,2.3,2.3,4.6,1.53,9.19,16.09,0,0,1.53,6.89,0,259.66,17.62,10.72,20.68,2.3,0,3.06,0,24.51,2.3,7.66,0,0,1.53,0,61.28,20.68,45.19,0.77
120,0,0,0,0,5.88,3.92,0,15.68,0,1.96,1.96,0,1.96,9.8,23.52,0,0,0,3.92,0,223.42,7.84,11.76,39.2,1.96,0,3.92,0,15.68,1.96,3.92,0,0,7.84,0,43.12,7.84,31.36,0
