stage,axial,blastomeres,eye,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,spinal_cord
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,306.48,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,2.63,2.63,2.63,0,2.63,0,0,0,0,23.66,2.63,0,15.77,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,1.64,0,4.1,0.82,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,2.87,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.93,0,1.96,0,1.96,0,0,0
 72-82,0,0,0.98,0,0,0,0,9.82,0,2.94,0,0,0,5.89,0
 84-94,0,0,0,1.06,0,0,1.06,4.25,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,9.84,0,1.09,0,1.09,0,3.28,0
108-118,0,0,0,0,0,0.77,0,2.3,0.77,2.3,0.77,0,0,3.83,0
120,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
