stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 36-46,0,0,4.03,0,0,1.61,0,0,0,0,0.81,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0
 48-58,0,0,33.28,0,0,0,0,0,0.57,0,0,0.57,0,0,0,18.94,0,0,0,0.57,0,0.57,0,0
 60-70,1.96,0,145.27,0.98,0,0,0,0,0,0,0,2.94,0,0,0,37.3,0,0,0,0,0,1.96,0.98,0
 72-82,1.96,0,175.72,0.98,0,7.85,0,0,0,0.98,0,7.85,0,0,0.98,63.81,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,98.77,0,0,5.31,0,1.06,0,0,0,7.43,0,1.06,0,37.17,0,0,1.06,0,0,2.12,1.06,0
 96-106,2.19,0,104.91,0,0,4.37,0,0,1.09,0,1.09,7.65,0,0,0,20.76,0,0,0,2.19,0,1.09,2.19,0
108-118,3.06,0.77,114.13,0.77,0.77,2.3,0.77,0,0,0,0,9.19,0.77,1.53,0,29.11,0,0,1.53,0,0,0.77,0,2.3
120,5.88,0,90.15,0,1.96,3.92,0,0,0,0,0,3.92,0,0,0,23.52,1.96,1.96,1.96,0,1.96,0,1.96,0
