stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,9.67,0,0,0,0,0,0.81,0.81,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,5.74,0,0,0,0.57,0,0,0,0,0,0.57,0.57,12.62,0,2.3,0,12.05,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,7.85,0,0.98,0,1.96,0,0,0,0,0,0,0,37.3,0,1.96,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,7.85,0,0,0,4.91,0,0,0,1.96,0.98,0,0,145.29,0,8.83,1.96,35.34,0.98,0,0,0,0.98,1.96,0,0.98,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,2.12,0,3.19,1.06,0,5.31,0,0,1.06,2.12,2.12,0,0,1.06,0,0,1.06,467.3,0,8.5,0,16.99,0,0,1.06,0,0,3.19,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,5.46,9.84,3.28,24.04,0,0,2.19,8.74,4.37,0,1.09,2.19,2.19,0,1.09,748.6,0,17.49,0,116.93,1.09,2.19,1.09,0,1.09,6.56,1.09,1.09,0,2.19,0,1.09,1.09,0,3.28
108-118,0,0,1.53,0,4.6,4.6,0,18.38,0.77,3.83,0,6.89,2.3,0,0,0,0,0.77,1.53,1426.99,0.77,17.62,1.53,96.51,2.3,0.77,2.3,0,0.77,4.6,0.77,0.77,0,2.3,0.77,0,1.53,0,2.3
120,0,0,1.96,0,1.96,1.96,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0,740.8,0,9.8,3.92,47.03,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0
