stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,41,2,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,1,0,0,0,102,4,14,3,0,0,0,1,44,0,2,147,0,0,0,0,0
 24-34,1.64,0,4.93,0.82,0,9.85,0,0,0,29.55,0,0.82,0,0,0,0,1.64,0.82,0,6.57,0,0,4.1,798.69,0,57.46,4.93,0,4.1,0,0,26.27,0,2.46,308.64,0,0,2.46,0,0.82
 36-46,0,0,3.22,0,0,19.34,0.81,1.61,0,35.45,0,0,1.61,0,0,0.81,0,0,0,12.09,0,0,2.42,1530.77,0,58.01,1.61,0,4.83,0.81,0,14.5,2.42,0.81,514.82,0,0,1.61,0,0.81
 48-58,0,0,6.89,0,0,118.2,1.15,0,0,67.71,0,0,0,0,0,1.15,2.87,0,2.3,25.82,1.15,0,4.59,1775.93,0.57,46.48,5.16,0,5.16,0,0,4.02,0,0,494.62,0,0,2.87,0,1.72
 60-70,0,0,5.89,0.98,0,209.06,0,0.98,0.98,54.97,0,0,0,1.96,0,0,4.91,0.98,0,24.54,1.96,0,1.96,2126.96,1.96,44.17,12.76,0,2.94,0,0,1.96,0,0,409.29,0,0,2.94,0,0
 72-82,2.94,0,14.72,1.96,0,267.99,1.96,0.98,0,96.2,4.91,0,0.98,1.96,2.94,0.98,18.65,0.98,0,43.19,6.87,1.96,0.98,2123.33,0.98,68.72,23.56,0,3.93,0,0,4.91,0,0,261.12,7.85,0.98,0.98,0.98,0
 84-94,2.12,0,26.55,2.12,1.06,235.77,0,1.06,0,64.78,2.12,0,1.06,3.19,3.19,0,15.93,0,0,30.8,7.43,3.19,4.25,1153.37,1.06,62.66,36.11,0,6.37,1.06,0,4.25,1.06,0,135.94,27.61,2.12,1.06,1.06,0
 96-106,2.19,2.19,22.95,1.09,0,167.21,2.19,0,1.09,97.26,9.84,0,2.19,5.46,2.19,3.28,25.14,1.09,2.19,57.92,3.28,0,0,1004.33,2.19,98.36,42.62,3.28,12.02,1.09,0,2.19,0,0,83.06,9.84,3.28,2.19,0,2.19
108-118,1.53,2.3,17.62,3.06,0.77,114.13,0,1.53,0.77,67.4,15.32,0,0.77,3.06,3.06,3.06,19.15,0.77,1.53,36,3.83,2.3,0,1047.07,0.77,68.94,34.47,0,6.13,0,0,5.36,0,0,62.04,32.17,0,1.53,2.3,1.53
120,0,0,17.64,3.92,0,139.14,0,0,1.96,74.47,1.96,0,0,0,1.96,0,17.64,3.92,1.96,39.2,3.92,0,3.92,1287.58,3.92,33.32,27.44,1.96,0,0,0,7.84,0,0,88.19,7.84,0,1.96,1.96,1.96
