stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,melanocytes,mucous,mural_cell,neural,olfactory,spinal_cord,taste,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,5.64,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0.57,0,1.15,0,8.61,0,1.15,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0.98,0,3.93,0,0.98,0,0
 72-82,0,0,0,0,0,2.94,0.98,0,0,0,1.96,0,2.94,0,28.47,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,2.12,0,3.19,1.06,11.68,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,0,2.19,1.09,0,1.09,0,1.09,0,17.49,0,0,0,0
108-118,0,0,0,0,0,3.06,0,0,0.77,0,1.53,0,0.77,0,10.72,0.77,0,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,25.48,0,0,0,1.96
