stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,4,1,1
 24-34,0,0,4.1,0,0.82,0,0.82,10.67,0,3.28
 36-46,0,0,1.61,0.81,0,0,0.81,5.64,0,2.42
 48-58,0,0,6.89,0.57,2.3,0,0,4.02,0,1.72
 60-70,0,0,3.93,2.94,0,0.98,0,0,0,0.98
 72-82,0,0,1.96,0.98,0.98,0,0,0,0,0
 84-94,0,1.06,2.12,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,1.53,0,0
