stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,191.97,6.29,0,0,129.03,0,0,0,59.79,0,3.15,0,0,0,0,0
 14-21,0,0,0,106,217,5,0,10,0,42,1,0,11,0,0,0,1,0,0,36,0,0,130,325,11,9,18,65,0,0,45,1,1,162,294,0,75,0,0
 24-34,0,0.82,0,16.42,11.49,14.78,0,9.03,2.46,51.71,0,0.82,7.39,0,13.13,0,2.46,0,0,60.74,2.46,0,101.79,645.19,1.64,32.01,2.46,0,0,0,2.46,0,0,22.98,203.57,0,145.29,0,1.64
 36-46,0,0,0,4.03,0,14.5,0.81,4.83,1.61,53.17,0,0,3.22,0,4.03,0,0.81,0.81,0.81,59.62,0,0,26.59,363.36,2.42,9.67,1.61,0,0,0,0,0,0,0,80.57,0,47.53,0,0
 48-58,0,0,0,1.72,0.57,29.84,0,1.15,0.57,79.19,0,0,10.33,0.57,6.89,0,2.3,0.57,0,61.4,1.72,0.57,35,226.08,0.57,5.74,2.3,0,0.57,0,0,0,0,0,78.04,2.3,36.72,0,2.87
 60-70,0,0,0,7.85,0,41.22,0,0,0,118.76,0,0,5.89,0,2.94,0,3.93,0,0,72.63,1.96,0.98,31.41,127.6,0,1.96,1.96,0,2.94,0,0,0,0,0,33.37,3.93,15.7,0,0.98
 72-82,0,0,0,4.91,0,52.03,0,0,0,227.75,0,0,11.78,0,16.69,0.98,1.96,0,0,64.79,0.98,2.94,57.92,76.57,0,0.98,4.91,0,8.83,0,0,0,0,0,20.61,14.72,43.19,0.98,1.96
 84-94,0,0,0,4.25,0,80.71,1.06,0,0,157.18,0,0,4.25,1.06,29.74,1.06,6.37,0,1.06,55.23,1.06,7.43,44.61,75.4,0,3.19,5.31,0,6.37,1.06,0,0,0,0,11.68,8.5,36.11,1.06,0
 96-106,0,0,0,14.21,0,53.55,0,1.09,1.09,182.51,4.37,0,15.3,0,63.39,1.09,2.19,0,0,57.92,1.09,4.37,39.34,74.31,0,7.65,5.46,0,12.02,1.09,0,1.09,0,0,13.11,8.74,50.27,0,4.37
108-118,0,0,0,11.49,1.53,30.64,0,0,1.53,160.85,1.53,0,7.66,0,43.66,0,6.13,0.77,0.77,33.7,2.3,2.3,42.89,100.34,2.3,4.6,12.26,0,9.96,1.53,0,0,0,0,8.43,6.89,26.81,0,6.89
120,0,0,0,11.76,0,27.44,0,0,1.96,197.94,0,0,15.68,0,19.6,0,5.88,0,0,25.48,1.96,1.96,25.48,70.55,0,0,7.84,0,0,3.92,0,0,0,0,5.88,7.84,37.24,0,3.92
