stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,7,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,48,0,0,2,0,0,0,2,0,2,11,17,0,1,0,1
 24-34,0,0,0.82,0,1.64,0.82,4.93,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0,9.03,0,4.1,85.37,1.64,1.64,0.82,0,0,2.46,0,7.39,0,2.46,24.63,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,11.28,0,0,1.61,2.42,0,0,0.81,0,0,0,0,0,4.03,0,0.81,87.01,0,2.42,0.81,0,0,0,0,0.81,0,0,16.92,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,0,24.1,0,0,0,6.31,0,0,0,0.57,0,0.57,0,0.57,1.72,0,1.15,67.14,0,0.57,2.3,0,0,0.57,0,0,0,0,8.61,0,0.57,0,1.15
 60-70,0,0,0,0,3.93,0,66.74,0,0.98,0,2.94,0,0,0,0.98,0.98,0.98,0,0,11.78,0,0,87.36,0,0,0,0,0,0.98,0,0.98,0,0,12.76,0,0.98,0,0
 72-82,0,0,0,0,1.96,0.98,38.28,0.98,0,0,5.89,0,0,0,0.98,0,0.98,0,0,8.83,0.98,0.98,34.36,0,0.98,1.96,0,0,0.98,0,0.98,0,0,2.94,0.98,0.98,0,0
 84-94,0,0,1.06,0,3.19,1.06,33.99,0,0,1.06,3.19,1.06,0,1.06,2.12,1.06,1.06,0,2.12,8.5,0,1.06,21.24,0,1.06,1.06,0,1.06,2.12,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,1.09,0,0,0,16.39,1.09,0,0,3.28,2.19,0,1.09,1.09,1.09,0,0,1.09,5.46,1.09,2.19,12.02,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0,0,0,3.06,0,16.09,0,1.53,0,3.06,0.77,0,0,3.06,0.77,0,0,0,5.36,1.53,0,13.02,0,0.77,0.77,0,0,1.53,0,1.53,0,0,1.53,0,0.77,0.77,0.77
120,0,0,0,0,1.96,1.96,11.76,0,0,0,3.92,0,0,0,5.88,0,0,1.96,0,5.88,0,3.92,15.68,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92
