stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,13.14,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,103.85,0,0,210.85,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,21,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,3,564,38,4,13,9,0,0,48,0,1,16,192,0,0,0,0,0
 24-34,0,0,3.28,0,1.64,0,0,14.78,0,0.82,0,12.31,0,0.82,0,0,0,0,0,0,13.13,0,0,5.75,1484.93,5.75,59.92,13.13,0,0,0.82,0,0,0,0.82,246.26,0,0,0.82,0,0.82
 36-46,0,0,4.83,0,3.22,0,0,19.34,0,0,0,30.62,0,0,0,0,0.81,0,0,0.81,47.53,0,0,4.83,2748.14,0.81,57.2,7.25,0,0,2.42,0,0,0,0,373.02,0,0.81,0.81,0,2.42
 48-58,0.57,0,1.72,0,6.89,0,0,108.45,0,1.72,0.57,39.02,0,0,0,0.57,0.57,0,0,0,57.38,1.15,1.15,4.59,2978.05,1.15,32.13,1.72,0.57,0,2.87,0,0,0.57,0,381.58,0,0,2.87,0,4.59
 60-70,0,0,0,0,1.96,2.94,0,286.6,0,0,2.94,36.32,0,0.98,1.96,0,0,0,0,0,61.84,0,0,5.89,3612.98,0,35.33,0,0,0,1.96,0,0,0,0,348.44,0,0,0.98,0.98,6.87
 72-82,0,0,1.96,0,18.65,6.87,0,503.59,0,2.94,6.87,67.73,0.98,0,2.94,1.96,0.98,0.98,1.96,0.98,103.07,1.96,0.98,8.83,3490.79,0,45.16,1.96,0,1.96,0,0,0,0,0,262.1,0.98,0,3.93,0,6.87
 84-94,0,0,2.12,0,35.05,0,0,408.88,2.12,0,0,53.1,1.06,0,0,1.06,0,1.06,2.12,1.06,67.97,0,3.19,4.25,1789.53,0,25.49,2.12,0,1.06,5.31,0,0,1.06,0,156.12,1.06,2.12,1.06,3.19,7.43
 96-106,0,0,1.09,0,21.86,6.56,0,316.93,2.19,2.19,1.09,60.11,2.19,3.28,1.09,0,1.09,0,0,0,81.96,1.09,3.28,3.28,1499.39,1.09,39.34,4.37,0,1.09,9.84,0,0,0,0,66.66,3.28,1.09,3.28,2.19,9.84
108-118,0,0,0,0,13.79,1.53,0.77,252,0.77,0.77,1.53,34.47,1.53,0.77,3.06,0,2.3,0,1.53,0,62.81,0,0.77,1.53,1942.48,0.77,17.62,2.3,0,0.77,5.36,0,0.77,0,0,53.62,0,0,2.3,4.6,7.66
120,0,0,0,0,11.76,0,0,207.74,0,1.96,1.96,33.32,0,0,5.88,0,1.96,0,1.96,0,62.71,1.96,3.92,3.92,1848.08,0,11.76,1.96,0,0,3.92,0,0,0,0,35.28,0,0,1.96,0,5.88
